"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000241","BP","GO:2000241","regulation of reproductive process","12/272","110/12275",5.61372772514859e-06,0.000152468845015036,9.48621499098794e-05,"puc/par-1/mago/Pvr/spin/Gli/E2f1/cnc/Syx1A/kis/kuz/Gadd45",12
"GO:0051247","BP","GO:0051247","positive regulation of protein metabolic process","20/272","286/12275",5.76344493001099e-06,0.000153310782059665,9.53859812416796e-05,"Oda/Lk6/SkpA/rpr/stv/Su(var)205/Pomp/Roc1a/InR/sgg/Pvr/ben/tyf/Ncoa6/Alg-2/Rheb/dod/Gadd45/Ras85D/hid",20
"GO:0061061","BP","GO:0061061","muscle structure development","18/272","238/12275",5.81267734189496e-06,0.000153310782059665,9.53859812416796e-05,"lola/Arp3/Gug/InR/akirin/CanB2/mask/sd/Ldh/Arf51F/ens/Pak3/kuz/Tpi/sty/Ras85D/mas/LamC",18
"GO:0007163","BP","GO:0007163","establishment or maintenance of cell polarity","17/272","215/12275",5.87051595515653e-06,0.000153310782059665,9.53859812416796e-05,"lola/jvl/Pfdn2/Eb1/Moe/par-1/mago/sgg/TBCB/mwh/cnc/mgr/mirr/crb/ft/sty/Ras85D",17
"GO:0051254","BP","GO:0051254","positive regulation of RNA metabolic process","27/272","473/12275",6.3929007730885e-06,0.000164839732592168,0.000102558994414371,"Trf2/lola/Su(var)205/Sec13/Myc/dl/mbf1/Crtc/akirin/arm/Su(Tpl)/E2f1/CG32767/cnc/mirr/Rpt4/Ncoa6/Eip75B/sd/fs(1)h/Rpt3/shn/tna/CrebB/DOR/e(y)3/lncRNA:roX2",27
"GO:0030036","BP","GO:0030036","actin cytoskeleton organization","20/272","289/12275",6.73849897086578e-06,0.00017157903004567,0.000106752010012137,"jvl/puc/Moe/cindr/RhoGAP18B/Arp3/sick/tral/CanB2/mask/Spn/mwh/Arf51F/Pak3/crb/Arpc5/btsz/CG6891/Arpc3A/LamC",20
"GO:0051603","BP","GO:0051603","proteolysis involved in cellular protein catabolic process","22/272","341/12275",7.17706093318351e-06,0.00017772175401053,0.000110573853101144,"Ubi-p63E/Ubi-p5E/Prosbeta4/SkpA/rpr/Prosalpha3/Pomp/Prosbeta1/Prosbeta3/Roc1a/Prosalpha4/CG40045/sgg/Prosalpha2/Prosbeta5/Rpt4/crb/Rpt3/Prosbeta2/Rpn8/Ubqn/Fbxl7",22
"GO:0010647","BP","GO:0010647","positive regulation of cell communication","24/272","394/12275",7.26499065535627e-06,0.00017772175401053,0.000110573853101144,"Sec13/Imp/spen/Gprk2/InR/Pvr/Pdk1/ben/CG42674/alpha-Spec/Prosap/E2f1/Snx3/Pp1-87B/crb/Gprk1/Alg-2/ft/kibra/Rheb/Gadd45/Ras85D/Fbxl7/cbt",24
"GO:0023056","BP","GO:0023056","positive regulation of signaling","24/272","394/12275",7.26499065535627e-06,0.00017772175401053,0.000110573853101144,"Sec13/Imp/spen/Gprk2/InR/Pvr/Pdk1/ben/CG42674/alpha-Spec/Prosap/E2f1/Snx3/Pp1-87B/crb/Gprk1/Alg-2/ft/kibra/Rheb/Gadd45/Ras85D/Fbxl7/cbt",24
"GO:0010498","BP","GO:0010498","proteasomal protein catabolic process","18/272","242/12275",7.32873212414558e-06,0.00017772175401053,0.000110573853101144,"Prosbeta4/SkpA/Prosalpha3/Pomp/Prosbeta1/Prosbeta3/Roc1a/Prosalpha4/CG40045/sgg/Prosalpha2/Prosbeta5/Rpt4/crb/Rpt3/Prosbeta2/Rpn8/Fbxl7",18
"GO:0009894","BP","GO:0009894","regulation of catabolic process","17/272","219/12275",7.50926475682936e-06,0.000178107363588864,0.000110813769351726,"Oda/SkpA/rpr/Pomp/Myc/Roc1a/mbf1/InR/sgg/Lsd-2/mask/crb/Atg8a/Rheb/Ras85D/DOR/hid",17
"GO:0045944","BP","GO:0045944","positive regulation of transcription by RNA polymerase II","22/272","342/12275",7.51950577743856e-06,0.000178107363588864,0.000110813769351726,"Trf2/Sec13/Myc/dl/mbf1/Crtc/akirin/arm/Su(Tpl)/E2f1/CG32767/cnc/Rpt4/Ncoa6/Eip75B/sd/fs(1)h/Rpt3/shn/CrebB/DOR/e(y)3",22
"GO:0007424","BP","GO:0007424","open tracheal system development","18/272","243/12275",7.75943690423944e-06,0.000181677850275124,0.000113035233305557,"Trf2/CCT3/Moe/Mkp3/Blimp-1/mbf1/InR/arm/rho/Gli/pasi1/crb/ft/btsz/sty/Rheb/Ras85D/hid",18
"GO:0051093","BP","GO:0051093","negative regulation of developmental process","17/272","220/12275",7.97827335138184e-06,0.000184678895645055,0.000114902405682581,"SkpA/Sema1a/bun/InR/sgg/Mob2/Spn/lwr/plum/sd/crb/ft/shn/sty/kibra/Ras85D/Fbxl7",17
"GO:0044257","BP","GO:0044257","cellular protein catabolic process","22/272","345/12275",8.63767210316338e-06,0.000197695933417346,0.000123001268033219,"Ubi-p63E/Ubi-p5E/Prosbeta4/SkpA/rpr/Prosalpha3/Pomp/Prosbeta1/Prosbeta3/Roc1a/Prosalpha4/CG40045/sgg/Prosalpha2/Prosbeta5/Rpt4/crb/Rpt3/Prosbeta2/Rpn8/Ubqn/Fbxl7",22
"GO:1901700","BP","GO:1901700","response to oxygen-containing compound","23/272","372/12275",8.90492755340669e-06,0.000201548193625438,0.000125398044143879,"Trf2/SkpA/rpr/Sec13/Myc/Roc1a/Blimp-1/Sirt1/Crtc/InR/sgg/Pdk1/rho/CG17734/GLaz/Eip75B/Arf51F/Rheb/DOR/HDAC4/hid/Pkc98E/FASN1",23
"GO:0007528","BP","GO:0007528","neuromuscular junction development","15/272","177/12275",9.10815852888965e-06,0.000203882625531299,0.000126850466961054,"SkpA/Imp/Arp3/par-1/sgg/spin/Pdk1/ben/Mob2/alpha-Spec/Prosap/plum/kis/Rheb/CrebB",15
"GO:0045935","BP","GO:0045935","positive regulation of nucleobase-containing compound metabolic process","27/272","483/12275",9.36951945609033e-06,0.000207139112462044,0.00012887656843361,"Trf2/lola/Su(var)205/Sec13/Myc/dl/mbf1/Crtc/akirin/arm/Su(Tpl)/E2f1/CG32767/cnc/mirr/Rpt4/Ncoa6/Eip75B/sd/fs(1)h/Rpt3/shn/tna/CrebB/DOR/e(y)3/lncRNA:roX2",27
"GO:0043067","BP","GO:0043067","regulation of programmed cell death","17/272","223/12275",9.54692436843242e-06,0.000207139112462044,0.00012887656843361,"SkpA/rpr/puc/Su(var)205/Myc/bun/Sirt1/Pvr/spin/Pdk1/mask/E2f1/ft/kibra/fwe/Ras85D/hid",17
"GO:0032270","BP","GO:0032270","positive regulation of cellular protein metabolic process","19/272","271/12275",9.55870229329019e-06,0.000207139112462044,0.00012887656843361,"Lk6/SkpA/rpr/stv/Su(var)205/Pomp/Roc1a/InR/sgg/Pvr/ben/tyf/Ncoa6/Alg-2/Rheb/dod/Gadd45/Ras85D/hid",19
"GO:0032535","BP","GO:0032535","regulation of cellular component size","15/272","178/12275",9.7514920051289e-06,0.000207173935327931,0.000128898234315081,"Myc/Sema1a/Arp3/InR/Pvr/Pdk1/mwh/Arpc5/kuz/btsz/CG6891/Rheb/Arpc3A/Ras85D/LamC",15
"GO:0048667","BP","GO:0048667","cell morphogenesis involved in neuron differentiation","26/272","456/12275",9.76372007436493e-06,0.000207173935327931,0.000128898234315081,"lola/Moe/Sema1a/spen/robl/sick/InR/wb/rho/ben/alpha-Spec/Prosap/Psc/cnc/cwo/mirr/Pp1-87B/kis/fs(1)h/AP-1sigma/crb/kuz/shn/Rheb/Ras85D/hid",26
"GO:0051253","BP","GO:0051253","negative regulation of RNA metabolic process","25/272","429/12275",1.00464610757151e-05,0.000210975682590017,0.000131263582584492,"E(spl)mbeta-HLH/Su(var)205/Blimp-1/dl/Sirt1/Gug/mbf1/arm/Mnt/AGO1/E2f1/CG32767/Psc/cwo/mirr/Eip75B/sd/kis/fs(1)h/vig2/shn/LamC/e(y)3/cbt/lncRNA:roX2",25
"GO:0015985","BP","GO:0015985","energy coupled proton transport, down electrochemical gradient","6/272","24/12275",1.07773615153719e-05,0.000221752377846592,0.000137968562089397,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB",6
"GO:0015986","BP","GO:0015986","ATP synthesis coupled proton transport","6/272","24/12275",1.07773615153719e-05,0.000221752377846592,0.000137968562089397,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB",6
"GO:0002064","BP","GO:0002064","epithelial cell development","23/272","377/12275",1.10638641864717e-05,0.000225370913478428,0.000140219920847494,"jvl/puc/cindr/bun/par-1/Gprk2/InR/RhoGAP71E/sgg/Pvr/alpha-Spec/Gli/E2f1/pasi1/mirr/Rpt4/kis/CCT1/crb/kuz/sty/kibra/Ras85D",23
"GO:0009142","BP","GO:0009142","nucleoside triphosphate biosynthetic process","7/272","36/12275",1.16907752247658e-05,0.000235783258741068,0.000146698211262303,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB/Scsalpha1",7
"GO:0097435","BP","GO:0097435","supramolecular fiber organization","18/272","251/12275",1.21121163062091e-05,0.000241886087409294,0.000150495232535354,"jvl/Moe/cindr/Arp3/sick/TBCB/CanB2/alpha-Spec/mask/Spn/mwh/ens/Pak3/Arpc5/btsz/CG6891/Arpc3A/LamC",18
"GO:0060541","BP","GO:0060541","respiratory system development","18/272","252/12275",1.27874369005989e-05,0.000252893290937087,0.000157343628291478,"Trf2/CCT3/Moe/Mkp3/Blimp-1/mbf1/InR/arm/rho/Gli/pasi1/crb/ft/btsz/sty/Rheb/Ras85D/hid",18
"GO:0046620","BP","GO:0046620","regulation of organ growth","9/272","66/12275",1.38351556688352e-05,0.000270982808629012,0.000168598455721433,"Myc/InR/Pdk1/kis/crb/ft/kibra/hid/Fbxl7",9
"GO:0045892","BP","GO:0045892","negative regulation of transcription, DNA-templated","24/272","411/12275",1.47186820069877e-05,0.00028020518923583,0.000174336381076371,"E(spl)mbeta-HLH/Su(var)205/Blimp-1/dl/Sirt1/Gug/arm/Mnt/AGO1/E2f1/CG32767/Psc/cwo/mirr/Eip75B/sd/kis/fs(1)h/vig2/shn/LamC/e(y)3/cbt/lncRNA:roX2",24
"GO:1902679","BP","GO:1902679","negative regulation of RNA biosynthetic process","24/272","411/12275",1.47186820069877e-05,0.00028020518923583,0.000174336381076371,"E(spl)mbeta-HLH/Su(var)205/Blimp-1/dl/Sirt1/Gug/arm/Mnt/AGO1/E2f1/CG32767/Psc/cwo/mirr/Eip75B/sd/kis/fs(1)h/vig2/shn/LamC/e(y)3/cbt/lncRNA:roX2",24
"GO:1903507","BP","GO:1903507","negative regulation of nucleic acid-templated transcription","24/272","411/12275",1.47186820069877e-05,0.00028020518923583,0.000174336381076371,"E(spl)mbeta-HLH/Su(var)205/Blimp-1/dl/Sirt1/Gug/arm/Mnt/AGO1/E2f1/CG32767/Psc/cwo/mirr/Eip75B/sd/kis/fs(1)h/vig2/shn/LamC/e(y)3/cbt/lncRNA:roX2",24
"GO:0042127","BP","GO:0042127","regulation of cell population proliferation","17/272","232/12275",1.60418708333097e-05,0.000302567508217147,0.000188249634340204,"Xrp1/E(spl)mbeta-HLH/Cyt-b5/Moe/Mkp3/dl/bun/InR/Pvr/E2f1/lwr/sd/crb/ft/kibra/Ras85D/Pkc98E",17
"GO:0009967","BP","GO:0009967","positive regulation of signal transduction","22/272","360/12275",1.68326298630274e-05,0.000311324092710503,0.00019369775346792,"Sec13/Imp/spen/Gprk2/InR/Pvr/Pdk1/ben/CG42674/Prosap/E2f1/Pp1-87B/crb/Gprk1/Alg-2/ft/kibra/Rheb/Gadd45/Ras85D/Fbxl7/cbt",22
"GO:0032880","BP","GO:0032880","regulation of protein localization","11/272","103/12275",1.69618607396099e-05,0.000311324092710503,0.00019369775346792,"CG30423/sgg/tral/rho/Rab2/Snx3/Arl1/kis/crb/ft/Fbxl7",11
"GO:0042325","BP","GO:0042325","regulation of phosphorylation","17/272","233/12275",1.69646412817211e-05,0.000311324092710503,0.00019369775346792,"Lk6/SkpA/kek1/puc/Mkp3/par-1/InR/sgg/Pvr/rho/ben/Alg-2/sty/CG17124/Gadd45/Ras85D/SNF4Agamma",17
"GO:0006886","BP","GO:0006886","intracellular protein transport","24/272","415/12275",1.72665511428197e-05,0.000314035398910033,0.000195384657668749,"Sec13/Tim17b/Arf102F/Srp9/loj/Arp3/sgg/tral/CHOp24/rho/Rab2/Myo10A/boca/Syx1A/Arl1/Tim23/Arf51F/Hel25E/AP-1sigma/crb/Srp54k/CG13887/btsz/Tim8",24
"GO:0051241","BP","GO:0051241","negative regulation of multicellular organismal process","16/272","210/12275",1.76331747888233e-05,0.000317865283582593,0.00019776751230315,"SkpA/Sema1a/InR/sgg/Mob2/Spn/lwr/plum/sd/crb/ft/shn/sty/kibra/Ras85D/Fbxl7",16
"GO:0048732","BP","GO:0048732","gland development","15/272","188/12275",1.87772872086924e-05,0.000335520474071109,0.000208752112643266,"Trf2/lola/rpr/Pvr/rho/E2f1/lwr/Arl1/crb/kuz/shn/btsz/sty/Ras85D/hid",15
"GO:0021700","BP","GO:0021700","developmental maturation","17/272","235/12275",1.8953430338778e-05,0.000335722935652964,0.00020887807897381,"SkpA/jvl/Moe/Roc1a/Imp/mgl/par-1/mago/InR/TBCB/ben/alpha-Spec/cnc/Syx1A/plum/kis/Ras85D",17
"GO:0097305","BP","GO:0097305","response to alcohol","12/272","124/12275",1.93075559797081e-05,0.000339047340781598,0.000210946437382654,"Trf2/rpr/Sec13/Blimp-1/Sirt1/rho/CG17734/Eip75B/Arf51F/DOR/hid/Pkc98E",12
"GO:0042594","BP","GO:0042594","response to starvation","13/272","145/12275",1.98919230128009e-05,0.000346323480145943,0.000215473462054991,"Myc/Imp/Crtc/InR/spin/Hsp68/GLaz/Atg8a/Rheb/Ras85D/HDAC4/hid/SNF4Agamma",13
"GO:0009141","BP","GO:0009141","nucleoside triphosphate metabolic process","7/272","39/12275",2.03510845187662e-05,0.00035131490817565,0.000218578998756418,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB/Scsalpha1",7
"GO:0006754","BP","GO:0006754","ATP biosynthetic process","6/272","27/12275",2.24132575712447e-05,0.000383662232543071,0.000238704662678272,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB",6
"GO:1901701","BP","GO:1901701","cellular response to oxygen-containing compound","14/272","171/12275",2.67652698585542e-05,0.000454340455848957,0.000282678814997362,"SkpA/Sec13/Myc/Roc1a/Blimp-1/Sirt1/Crtc/InR/sgg/Pdk1/Rheb/DOR/HDAC4/FASN1",14
"GO:1904263","BP","GO:1904263","positive regulation of TORC1 signaling","6/272","28/12275",2.79996273113023e-05,0.000471365626720023,0.000293271433517251,"Sec13/InR/Pvr/E2f1/Rheb/Ras85D",6
"GO:0060341","BP","GO:0060341","regulation of cellular localization","13/272","150/12275",2.85495707360084e-05,0.000476684226141386,0.000296580527749388,"Cnx99A/east/par-1/CG30423/mago/sgg/tral/rho/Rab2/cnc/Syx1A/Arl1/crb",13
"GO:0031329","BP","GO:0031329","regulation of cellular catabolic process","15/272","196/12275",3.06791937184743e-05,0.000508077378898635,0.000316112530911793,"SkpA/rpr/Pomp/Myc/Roc1a/mbf1/InR/sgg/mask/crb/Atg8a/Rheb/Ras85D/DOR/hid",15
"GO:0048812","BP","GO:0048812","neuron projection morphogenesis","25/272","459/12275",3.14427413271458e-05,0.000516523097446742,0.000321367237333477,"lola/Moe/Sema1a/spen/robl/sick/InR/wb/rho/ben/alpha-Spec/Prosap/Psc/cnc/cwo/mirr/Pp1-87B/kis/fs(1)h/AP-1sigma/crb/kuz/shn/Rheb/hid",25
"GO:0120039","BP","GO:0120039","plasma membrane bounded cell projection morphogenesis","25/272","460/12275",3.25952097510714e-05,0.00053117153810346,0.000330481116128758,"lola/Moe/Sema1a/spen/robl/sick/InR/wb/rho/ben/alpha-Spec/Prosap/Psc/cnc/cwo/mirr/Pp1-87B/kis/fs(1)h/AP-1sigma/crb/kuz/shn/Rheb/hid",25
"GO:0048858","BP","GO:0048858","cell projection morphogenesis","25/272","462/12275",3.50153097750036e-05,0.000563321205049469,0.000350483802743746,"lola/Moe/Sema1a/spen/robl/sick/InR/wb/rho/ben/alpha-Spec/Prosap/Psc/cnc/cwo/mirr/Pp1-87B/kis/fs(1)h/AP-1sigma/crb/kuz/shn/Rheb/hid",25
"GO:0002168","BP","GO:0002168","instar larval development","9/272","74/12275",3.53976996791026e-05,0.000563321205049469,0.000350483802743746,"Moe/Sec13/sgg/arm/rho/SrpRbeta/ft/btsz/Ras85D",9
"GO:0032869","BP","GO:0032869","cellular response to insulin stimulus","9/272","74/12275",3.53976996791026e-05,0.000563321205049469,0.000350483802743746,"SkpA/Myc/Roc1a/Sirt1/InR/sgg/Pdk1/Rheb/HDAC4",9
"GO:0051146","BP","GO:0051146","striated muscle cell differentiation","11/272","112/12275",3.74321172122915e-05,0.000591079246212695,0.000367754134015495,"Arp3/InR/CanB2/mask/sd/Ldh/Arf51F/ens/Pak3/Tpi/sty",11
"GO:0045793","BP","GO:0045793","positive regulation of cell size","7/272","43/12275",3.95294195401415e-05,0.000619395596948218,0.000385371830982433,"Myc/InR/Pvr/Pdk1/btsz/Rheb/Ras85D",7
"GO:0048469","BP","GO:0048469","cell maturation","15/272","202/12275",4.35549956294312e-05,0.00067099152427674,0.000417473475042862,"SkpA/jvl/Moe/Roc1a/Imp/par-1/mago/InR/TBCB/alpha-Spec/cnc/Syx1A/plum/kis/Ras85D",15
"GO:0071375","BP","GO:0071375","cellular response to peptide hormone stimulus","9/272","76/12275",4.39006572235582e-05,0.00067099152427674,0.000417473475042862,"SkpA/Myc/Roc1a/Sirt1/InR/sgg/Pdk1/Rheb/HDAC4",9
"GO:1901653","BP","GO:1901653","cellular response to peptide","9/272","76/12275",4.39006572235582e-05,0.00067099152427674,0.000417473475042862,"SkpA/Myc/Roc1a/Sirt1/InR/sgg/Pdk1/Rheb/HDAC4",9
"GO:0051963","BP","GO:0051963","regulation of synapse assembly","11/272","114/12275",4.41398449941498e-05,0.00067099152427674,0.000417473475042862,"SkpA/Arp3/sgg/spin/Mob2/alpha-Spec/Spn/plum/kis/Pak3/Rheb",11
"GO:0051962","BP","GO:0051962","positive regulation of nervous system development","12/272","135/12275",4.51864501732466e-05,0.000681813325947433,0.000424206518585489,"E(spl)mbeta-HLH/Myc/Roc1a/Imp/bun/Arp3/InR/Prosap/Pak3/Rheb/Ras85D/mas",12
"GO:0032990","BP","GO:0032990","cell part morphogenesis","25/272","471/12275",4.80387560889416e-05,0.000719521662890985,0.000447667665101282,"lola/Moe/Sema1a/spen/robl/sick/InR/wb/rho/ben/alpha-Spec/Prosap/Psc/cnc/cwo/mirr/Pp1-87B/kis/fs(1)h/AP-1sigma/crb/kuz/shn/Rheb/hid",25
"GO:0071695","BP","GO:0071695","anatomical structure maturation","15/272","205/12275",5.16178454613156e-05,0.000749169965897315,0.000466114068129275,"SkpA/jvl/Moe/Roc1a/Imp/par-1/mago/InR/TBCB/alpha-Spec/cnc/Syx1A/plum/kis/Ras85D",15
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","6/272","31/12275",5.17496606167059e-05,0.000749169965897315,0.000466114068129275,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB",6
"GO:0009205","BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","6/272","31/12275",5.17496606167059e-05,0.000749169965897315,0.000466114068129275,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB",6
"GO:0009206","BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","6/272","31/12275",5.17496606167059e-05,0.000749169965897315,0.000466114068129275,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB",6
"GO:1901888","BP","GO:1901888","regulation of cell junction assembly","11/272","116/12275",5.18571257690336e-05,0.000749169965897315,0.000466114068129275,"SkpA/Arp3/sgg/spin/Mob2/alpha-Spec/Spn/plum/kis/Pak3/Rheb",11
"GO:0032868","BP","GO:0032868","response to insulin","9/272","78/12275",5.40684762064215e-05,0.000775616098820286,0.000482568164214466,"SkpA/Myc/Roc1a/Sirt1/InR/sgg/Pdk1/Rheb/HDAC4",9
"GO:0010558","BP","GO:0010558","negative regulation of macromolecule biosynthetic process","25/272","477/12275",5.89944385541605e-05,0.000834525495380729,0.000519220058619951,"E(spl)mbeta-HLH/Su(var)205/Blimp-1/dl/Srp9/Sirt1/Gug/arm/Mnt/AGO1/E2f1/CG32767/Psc/cwo/mirr/Eip75B/sd/kis/fs(1)h/vig2/shn/LamC/e(y)3/cbt/lncRNA:roX2",25
"GO:2000113","BP","GO:2000113","negative regulation of cellular macromolecule biosynthetic process","25/272","477/12275",5.89944385541605e-05,0.000834525495380729,0.000519220058619951,"E(spl)mbeta-HLH/Su(var)205/Blimp-1/dl/Srp9/Sirt1/Gug/arm/Mnt/AGO1/E2f1/CG32767/Psc/cwo/mirr/Eip75B/sd/kis/fs(1)h/vig2/shn/LamC/e(y)3/cbt/lncRNA:roX2",25
"GO:0001932","BP","GO:0001932","regulation of protein phosphorylation","15/272","208/12275",6.09632184401352e-05,0.000856428110086589,0.00053284729583973,"Lk6/SkpA/kek1/puc/Mkp3/par-1/InR/sgg/Pvr/ben/Alg-2/sty/Gadd45/Ras85D/SNF4Agamma",15
"GO:0009144","BP","GO:0009144","purine nucleoside triphosphate metabolic process","6/272","32/12275",6.25184007419976e-05,0.000871468916894218,0.000542205294649323,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB",6
"GO:0008286","BP","GO:0008286","insulin receptor signaling pathway","8/272","62/12275",6.2889509466593e-05,0.000871468916894218,0.000542205294649323,"SkpA/Myc/Roc1a/InR/sgg/Pdk1/Rheb/HDAC4",8
"GO:0043434","BP","GO:0043434","response to peptide hormone","9/272","80/12275",6.61540716939354e-05,0.000904401637856016,0.000562695177107017,"SkpA/Myc/Roc1a/Sirt1/InR/sgg/Pdk1/Rheb/HDAC4",9
"GO:1901652","BP","GO:1901652","response to peptide","9/272","80/12275",6.61540716939354e-05,0.000904401637856016,0.000562695177107017,"SkpA/Myc/Roc1a/Sirt1/InR/sgg/Pdk1/Rheb/HDAC4",9
"GO:0009895","BP","GO:0009895","negative regulation of catabolic process","7/272","47/12275",7.15324208315204e-05,0.000971410274892047,0.000604386208288776,"mbf1/InR/Lsd-2/mask/crb/Rheb/Ras85D",7
"GO:0050769","BP","GO:0050769","positive regulation of neurogenesis","10/272","100/12275",7.24153115277378e-05,0.000976887348225179,0.000607793900867176,"E(spl)mbeta-HLH/Myc/Roc1a/Imp/bun/InR/Prosap/Rheb/Ras85D/mas",10
"GO:0048749","BP","GO:0048749","compound eye development","22/272","397/12275",7.3856917044568e-05,0.000989779868551218,0.000615815291701246,"lola/puc/Moe/cindr/Arf102F/bun/spen/arm/rho/Mob2/mask/mirr/sd/Arf51F/AP-1sigma/crb/ft/shn/sty/kibra/Ras85D/hid",22
"GO:0009199","BP","GO:0009199","ribonucleoside triphosphate metabolic process","6/272","33/12275",7.50040551760646e-05,0.000992099093465218,0.000617258253123594,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB",6
"GO:0009201","BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","6/272","33/12275",7.50040551760646e-05,0.000992099093465218,0.000617258253123594,"ATPsynG/ATPsynbeta/ATPsyngamma/ATPsynO/Cyt-c1/ATPsynB",6
"GO:0035075","BP","GO:0035075","response to ecdysone","7/272","48/12275",8.21786534156975e-05,0.00107103942238779,0.000666372872673904,"Trf2/rpr/Sec13/Blimp-1/Eip75B/DOR/hid",7
"GO:0036314","BP","GO:0036314","response to sterol","7/272","48/12275",8.21786534156975e-05,0.00107103942238779,0.000666372872673904,"Trf2/rpr/Sec13/Blimp-1/Eip75B/DOR/hid",7
"GO:0001654","BP","GO:0001654","eye development","23/272","429/12275",8.36010152968382e-05,0.00107103942238779,0.000666372872673904,"lola/puc/Moe/cindr/Arf102F/bun/spen/Gug/arm/rho/Mob2/mask/mirr/sd/Arf51F/AP-1sigma/crb/ft/shn/sty/kibra/Ras85D/hid",23
"GO:0048880","BP","GO:0048880","sensory system development","23/272","429/12275",8.36010152968382e-05,0.00107103942238779,0.000666372872673904,"lola/puc/Moe/cindr/Arf102F/bun/spen/Gug/arm/rho/Mob2/mask/mirr/sd/Arf51F/AP-1sigma/crb/ft/shn/sty/kibra/Ras85D/hid",23
"GO:0150063","BP","GO:0150063","visual system development","23/272","429/12275",8.36010152968382e-05,0.00107103942238779,0.000666372872673904,"lola/puc/Moe/cindr/Arf102F/bun/spen/Gug/arm/rho/Mob2/mask/mirr/sd/Arf51F/AP-1sigma/crb/ft/shn/sty/kibra/Ras85D/hid",23
"GO:0009890","BP","GO:0009890","negative regulation of biosynthetic process","25/272","488/12275",8.50558561054253e-05,0.00107614148376864,0.000669547242569023,"E(spl)mbeta-HLH/Su(var)205/Blimp-1/dl/Srp9/Sirt1/Gug/arm/Mnt/AGO1/E2f1/CG32767/Psc/cwo/mirr/Eip75B/sd/kis/fs(1)h/vig2/shn/LamC/e(y)3/cbt/lncRNA:roX2",25
"GO:0031327","BP","GO:0031327","negative regulation of cellular biosynthetic process","25/272","488/12275",8.50558561054253e-05,0.00107614148376864,0.000669547242569023,"E(spl)mbeta-HLH/Su(var)205/Blimp-1/dl/Srp9/Sirt1/Gug/arm/Mnt/AGO1/E2f1/CG32767/Psc/cwo/mirr/Eip75B/sd/kis/fs(1)h/vig2/shn/LamC/e(y)3/cbt/lncRNA:roX2",25
"GO:0050767","BP","GO:0050767","regulation of neurogenesis","17/272","265/12275",8.63459206820579e-05,0.0010838473401469,0.000674341625991201,"E(spl)mbeta-HLH/Myc/Sema1a/Roc1a/Imp/bun/InR/sgg/Prosap/cwo/sd/kuz/sty/kibra/Rheb/Ras85D/mas",17
"GO:0008340","BP","GO:0008340","determination of adult lifespan","13/272","167/12275",8.72611506058381e-05,0.0010838473401469,0.000674341625991201,"Hsp26/puc/miple2/bun/Sirt1/InR/Hsp68/cnc/GLaz/kis/Atg8a/Tpi/Ras85D",13
"GO:0031667","BP","GO:0031667","response to nutrient levels","13/272","167/12275",8.72611506058381e-05,0.0010838473401469,0.000674341625991201,"Myc/Imp/Crtc/InR/spin/Hsp68/GLaz/Atg8a/Rheb/Ras85D/HDAC4/hid/SNF4Agamma",13
"GO:0001558","BP","GO:0001558","regulation of cell growth","9/272","83/12275",8.84984036057812e-05,0.00108597137436733,0.000675663144840587,"Myc/Sema1a/bun/InR/Pdk1/Mnt/eIF4E1/kuz/Rheb",9
"GO:0048640","BP","GO:0048640","negative regulation of developmental growth","9/272","83/12275",8.84984036057812e-05,0.00108597137436733,0.000675663144840587,"SkpA/Sema1a/sgg/Mob2/plum/crb/ft/kibra/Fbxl7",9
"GO:0010623","BP","GO:0010623","programmed cell death involved in cell development","10/272","103/12275",9.31105810996827e-05,0.0011357260700602,0.000706619222464658,"Ubi-p63E/Trf2/lola/rpr/spin/arm/E2f1/Atg8a/Ras85D/hid",10
"GO:0043408","BP","GO:0043408","regulation of MAPK cascade","11/272","124/12275",9.54426358650149e-05,0.00115724195986331,0.000720005849508007,"SkpA/puc/Mkp3/InR/sgg/Pvr/ben/Alg-2/sty/Gadd45/Ras85D",11
