"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","enrichment_factor"
"GO:0051438","GO:0051438","regulation of ubiquitin-protein transferase activity","6/1975","12/12275",0.00660789269319611,0.0165537184999172,0.00806879317866604,"CG6966/SCCRO/SCCRO4/Fem-1/Nedd8/fzr",6,3.10759493670886
"GO:0061343","GO:0061343","cell adhesion involved in heart morphogenesis","6/1975","12/12275",0.00660789269319611,0.0165537184999172,0.00806879317866604,"Gli/Cont/Lac/cora/Nrx-IV/Galphao",6,3.10759493670886
"GO:0071559","GO:0071559","response to transforming growth factor beta","6/1975","12/12275",0.00660789269319611,0.0165537184999172,0.00806879317866604,"lwr/Snoo/babo/tkv/Dad/Med",6,3.10759493670886
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","6/1975","12/12275",0.00660789269319611,0.0165537184999172,0.00806879317866604,"lwr/Snoo/babo/tkv/Dad/Med",6,3.10759493670886
"GO:0000338","GO:0000338","protein deneddylation","5/1975","10/12275",0.0132857517158616,0.0301597025171881,0.0147007696151473,"CSN5/CSN4/Den1/CSN7/CSN8",5,3.10759493670886
"GO:0006509","GO:0006509","membrane protein ectodomain proteolysis","5/1975","10/12275",0.0132857517158616,0.0301597025171881,0.0147007696151473,"Meltrin/Timp/kuz/pen-2/Nct",5,3.10759493670886
"GO:0006739","GO:0006739","NADP metabolic process","5/1975","10/12275",0.0132857517158616,0.0301597025171881,0.0147007696151473,"Idh/CG6145/Rpi/CG17333/Taldo",5,3.10759493670886
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","5/1975","10/12275",0.0132857517158616,0.0301597025171881,0.0147007696151473,"Snoo/babo/tkv/Dad/Med",5,3.10759493670886
"GO:0040036","GO:0040036","regulation of fibroblast growth factor receptor signaling pathway","5/1975","10/12275",0.0132857517158616,0.0301597025171881,0.0147007696151473,"dally/sty/Src64B/rau/trol",5,3.10759493670886
"GO:0042177","GO:0042177","negative regulation of protein catabolic process","5/1975","10/12275",0.0132857517158616,0.0301597025171881,0.0147007696151473,"Timp/Usp47/CSN5/CSN4/crb",5,3.10759493670886
"GO:0048096","GO:0048096","chromatin-mediated maintenance of transcription","5/1975","10/12275",0.0132857517158616,0.0301597025171881,0.0147007696151473,"tna/gpp/tara/ash1/ash2",5,3.10759493670886
"GO:0051897","GO:0051897","positive regulation of protein kinase B signaling","5/1975","10/12275",0.0132857517158616,0.0301597025171881,0.0147007696151473,"Pdk1/Pvr/Pi3K92E/InR/rictor",5,3.10759493670886
"GO:0072529","GO:0072529","pyrimidine-containing compound catabolic process","5/1975","10/12275",0.0132857517158616,0.0301597025171881,0.0147007696151473,"b/dUTPase/CG17896/CG8360/Tet",5,3.10759493670886
"GO:0098586","GO:0098586","cellular response to virus","5/1975","10/12275",0.0132857517158616,0.0301597025171881,0.0147007696151473,"Sec61alpha/Ufd1-like/FoxK/RNASEK/AGO2",5,3.10759493670886
"GO:0035265","GO:0035265","organ growth","42/1975","84/12275",4.83206827628568e-13,7.21805846659669e-12,3.51830441714829e-12,"hid/Myc/Pdk1/Fbxl7/TSG101/dally/S6k/Pi3K92E/Csk/Ubx/ft/InR/Tao/wts/Sxl/foxo/d/dlg1/Fmr1/dco/bi/HnRNP-K/ago/Desat1/Akt1/scrib/babo/Syx7/tkv/kibra/Zyx/fj/Sfmbt/hyd/ex/Egfr/crb/kis/bchs/usp/Hipk/Wbp2",42,3.10759493670886
"GO:2000243","GO:2000243","positive regulation of reproductive process","28/1975","56/12275",3.75980239865602e-09,3.18809126921333e-08,1.55397405641046e-08,"puc/kay/spri/Pvf1/Pvr/Gli/slbo/kuz/stg/hep/ttk/E2f1/Cbl/Bug22/aop/peb/shg/Catsup/Adi1/Rac1/Diap1/bsk/Hrs/Egfr/kis/didum/Tie/mbc",28,3.10759493670886
"GO:0097306","GO:0097306","cellular response to alcohol","15/1975","30/12275",1.64839358621913e-05,7.44877540606544e-05,3.63076297245098e-05,"Sec13/Blimp-1/EcR/Oatp74D/pzg/G9a/Iswi/slpr/DOR/E(bx)/Pka-C1/Drat/Akap200/Pka-R2/usp",15,3.10759493670886
"GO:0035071","GO:0035071","salivary gland cell autophagic cell death","14/1975","28/12275",3.16612165448862e-05,0.000135832272766231,6.62088409890712e-05,"rpr/hid/Trf2/bel/EcR/Atg17/hdc/kto/l(3)psg2/BRWD3/BI-1/Eip74EF/Dark/Pak",14,3.10759493670886
"GO:0071902","GO:0071902","positive regulation of protein serine/threonine kinase activity","14/1975","28/12275",3.16612165448862e-05,0.000135832272766231,6.62088409890712e-05,"Gadd45/Pi3K92E/msn/Rho1/mbt/hep/Tao/raptor/Src64B/CycY/wnd/slpr/Rac1/rictor",14,3.10759493670886
"GO:0043405","GO:0043405","regulation of MAP kinase activity","13/1975","26/12275",6.0935735144138e-05,0.000248132379125071,0.000120947377962272,"Gadd45/sgg/trbl/sty/msn/mbt/hep/Tao/Src64B/wnd/slpr/bsk/alph",13,3.10759493670886
"GO:0010458","GO:0010458","exit from mitosis","7/1975","14/12275",0.00332366636098394,0.00896363902592768,0.00436915424342825,"vih/cdc14/ago/CycA/CG8188/ex/fzr",7,3.10759493670886
"GO:0033962","GO:0033962","cytoplasmic mRNA processing body assembly","7/1975","14/12275",0.00332366636098394,0.00896363902592768,0.00436915424342825,"stau/DCP2/Edc3/me31B/LSm3/Smn/CG11486",7,3.10759493670886
"GO:0034314","GO:0034314","Arp2/3 complex-mediated actin nucleation","7/1975","14/12275",0.00332366636098394,0.00896363902592768,0.00436915424342825,"Arp3/Arpc4/SCAR/Arpc3A/Arpc2/Arpc5/flr",7,3.10759493670886
"GO:0046533","GO:0046533","negative regulation of photoreceptor cell differentiation","7/1975","14/12275",0.00332366636098394,0.00896363902592768,0.00436915424342825,"ed/cdi/ttk/aop/sdk/alph/Kr-h1",7,3.10759493670886
"GO:0055092","GO:0055092","sterol homeostasis","7/1975","14/12275",0.00332366636098394,0.00896363902592768,0.00436915424342825,"Rheb/EcR/InR/Akt1/CG14184/SNF4Agamma/Npc2a",7,3.10759493670886
"GO:0061058","GO:0061058","regulation of peptidoglycan recognition protein signaling pathway","7/1975","14/12275",0.00332366636098394,0.00896363902592768,0.00436915424342825,"Rel/scny/puf/Usp2/TM9SF2/TM9SF4/PGRP-LC",7,3.10759493670886
"GO:1900180","GO:1900180","regulation of protein localization to nucleus","7/1975","14/12275",0.00332366636098394,0.00896363902592768,0.00436915424342825,"sgg/Tnpo/Parp/wts/Lam/Nup358/rdx",7,3.10759493670886
"GO:1905475","GO:1905475","regulation of protein localization to membrane","7/1975","14/12275",0.00332366636098394,0.00896363902592768,0.00436915424342825,"dally/Rab11/Crag/peb/Rab2/Akap200/Herc4",7,3.10759493670886
"GO:0040012","GO:0040012","regulation of locomotion","55/1975","111/12275",1.97566220104543e-16,4.74652843801165e-15,2.31360441964531e-15,"puc/kay/scb/spri/Pvf1/Rheb/Pvr/Pvf3/ena/Arl1/S6k/NetB/Gli/PlexA/PlexB/slbo/Ten-m/Ten-a/kuz/Rho1/Rab1/fz/hep/ttk/raptor/pk/Cbl/Sin3A/Vang/Wnt5/Bug22/aop/peb/shg/Catsup/Pvf2/mmy/Rac1/Diap1/bsk/Fhos/Pu/CadN/Hrs/ple/bnl/Rap2l/Sema1a/Egfr/kis/Tie/CG44774/unc-5/sli/mbc",55,3.0795985859277
"GO:1902692","GO:1902692","regulation of neuroblast proliferation","26/1975","53/12275",2.25684191062976e-08,1.75376690790986e-07,8.54840105175408e-08,"E(spl)mbeta-HLH/E(spl)m3-HLH/bun/EcR/brat/sd/E(spl)mdelta-HLH/dpn/zld/E(spl)mgamma-HLH/klu/kto/MED31/Fmr1/osa/brm/MED11/babo/aPKC/MED22/CG5214/HDAC1/daw/Dap160/Ctr9/numb",26,3.0489610699785
"GO:0050769","GO:0050769","positive regulation of neurogenesis","49/1975","100/12275",1.52434512893631e-14,2.85369286150869e-13,1.39097795429253e-13,"E(spl)mbeta-HLH/E(spl)m3-HLH/bun/Roc1a/Myc/Prosap/Rheb/S6k/EcR/PlexA/Pi3K92E/PlexB/Rop/dpn/Rab1/fz/zld/E(spl)mgamma-HLH/klu/InR/mbt/raptor/mas/Src64B/pk/G9a/pyr/Src42A/Fmr1/da/Vang/Wnt5/Akt1/lva/babo/aPKC/Ras85D/mmy/Rac1/mnb/bsk/Archease/DCTN1-p150/daw/Imp/spict/Dap160/Cul1/shot",49,3.04544303797468
"GO:0045860","GO:0045860","positive regulation of protein kinase activity","24/1975","49/12275",8.14717960179568e-08,5.7288582419456e-07,2.79242227686707e-07,"Gadd45/fry/Pi3K92E/msn/Atg17/Rho1/mbt/hep/Tao/raptor/Src64B/chif/CycY/wnd/ASPP/slpr/Stlk/Rac1/Mekk1/rictor/hppy/Dap160/Cdc42/Pak",24,3.04417463187807
"GO:1903050","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","24/1975","49/12275",8.14717960179568e-08,5.7288582419456e-07,2.79242227686707e-07,"rpr/Pomp/Roc1a/sgg/trbl/REG/Rad23/Ufd1-like/Fbl6/Usp47/wds/Usp2/dco/SkpA/Pka-C1/PI31/CSN5/CSN4/sina/CG31855/CkIalpha/CG33144/crb/Cul1",24,3.04417463187807
"GO:0051962","GO:0051962","positive regulation of nervous system development","66/1975","135/12275",4.70945384385071e-19,1.33111327762957e-17,6.48825684369525e-18,"E(spl)mbeta-HLH/E(spl)m3-HLH/bun/Roc1a/Myc/nmo/Prosap/Pak3/Rheb/Arp3/S6k/EcR/PlexA/Pi3K92E/PlexB/Rop/stau/simj/dpn/Rab1/fz/zld/E(spl)mgamma-HLH/klu/InR/mbt/raptor/mas/Src64B/pk/G9a/Top3beta/pyr/Src42A/sax/dlg1/caz/Fmr1/da/Vang/Wnt5/Akt1/Nedd4/lva/trio/babo/aPKC/Ras85D/Cals/mmy/Rac1/mnb/tkv/cpb/bsk/Archease/DCTN1-p150/daw/Imp/spict/rictor/Dap160/Med/Cul1/shot/Pak",66,3.03853727144866
"GO:0022404","GO:0022404","molting cycle process","21/1975","43/12275",5.60977172734751e-07,3.35538835890931e-06,1.63551982004999e-06,"ETH/Ddc/frm/Eip75B/Cht6/Idgf6/Cht2/e/EcR/Idgf4/Cht5/rk/Hmgcr/Zyx/Cht7/p38b/dpy/ple/mgl/Cht9/Duox",21,3.03532528701796
"GO:1903364","GO:1903364","positive regulation of cellular protein catabolic process","20/1975","41/12275",1.06863738644401e-06,6.01734684593374e-06,2.93304052405993e-06,"rpr/Pomp/Roc1a/sgg/trbl/Ufd1-like/Fbl6/vih/wds/Usp2/dco/SkpA/Pka-C1/PI31/CSN5/sina/CG31855/CkIalpha/CG33144/Cul1",20,3.03179993825255
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","18/1975","37/12275",3.88778436292951e-06,2.01591408602982e-05,9.82618728608651e-06,"rpr/Atg8a/dod/Kdm2/CG6966/SCCRO/Diap1/SCCRO4/ctrip/CSN8/Hrs/Fem-1/Nedd8/hyd/ben/bchs/car/fzr",18,3.02360588436538
"GO:0007254","GO:0007254","JNK cascade","34/1975","70/12275",2.21389626080324e-10,2.23170032164187e-09,1.08779959814955e-09,"puc/Gadd45/Jra/Pvf1/sgg/Pvr/raw/PEK/Alg-2/msn/Ptp61F/Mnn1/hep/Cka/XNP/Rala/slpr/SkpA/peb/Rac1/cpb/bsk/Crk/alph/rdx/grnd/PGRP-LF/Btk29A/ben/Mekk1/hppy/Cdc42/ALiX/mbc",34,3.01880650994575
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","34/1975","70/12275",2.21389626080324e-10,2.23170032164187e-09,1.08779959814955e-09,"Gadd45/Pde8/Pvf1/Pvr/PEK/Alg-2/msn/InR/Mnn1/mbt/hep/Tao/Src64B/wnd/Cka/Src42A/Cdc37/slpr/Ras85D/Rac1/btl/CG14184/Crk/rdx/grnd/bnl/M1BP/ben/Egfr/Mekk1/hppy/Cdc42/ALiX/mbc",34,3.01880650994575
"GO:0031346","GO:0031346","positive regulation of cell projection organization","33/1975","68/12275",4.19426016624943e-10,4.04416456832679e-09,1.97125059740996e-09,"Prosap/Rheb/Arp3/ena/S6k/PlexA/PlexB/Rop/Rab1/fz/hep/raptor/mas/pk/G9a/SCAR/Abl/Vang/Wnt5/Akt1/lva/aPKC/mmy/Rac1/HSPC300/kug/Archease/DCTN1-p150/Rab35/Imp/spict/shot/Cdc42",33,3.01619508562919
"GO:0045665","GO:0045665","negative regulation of neuron differentiation","16/1975","33/12275",1.42036696776836e-05,6.51020344686197e-05,3.17327403894362e-05,"ed/sgg/Fas2/cdi/ttk/bif/Fmr1/Abl/aop/btl/sdk/alph/HDAC1/CadN/Sema1a/Kr-h1",16,3.01342539317223
"GO:0051489","GO:0051489","regulation of filopodium assembly","16/1975","33/12275",1.42036696776836e-05,6.51020344686197e-05,3.17327403894362e-05,"Arp3/ena/Rho1/hep/SCAR/aPKC/Rac1/CaMKII/HSPC300/cpb/kug/Rab35/baz/dia/shot/Cdc42",16,3.01342539317223
"GO:0007446","GO:0007446","imaginal disc growth","30/1975","62/12275",2.85396960540821e-09,2.45611772310205e-08,1.19718756424822e-08,"Myc/Fbxl7/TSG101/dally/Pi3K92E/Csk/Ubx/ft/InR/wts/Sxl/d/dlg1/Fmr1/dco/HnRNP-K/ago/Desat1/scrib/babo/Syx7/tkv/Zyx/fj/Sfmbt/hyd/ex/Egfr/crb/Wbp2",30,3.00734993875051
"GO:0046328","GO:0046328","regulation of JNK cascade","30/1975","62/12275",2.85396960540821e-09,2.45611772310205e-08,1.19718756424822e-08,"puc/Pvf1/sgg/Pvr/raw/PEK/Alg-2/Ptp61F/Mnn1/hep/Cka/XNP/Rala/slpr/SkpA/peb/Rac1/cpb/bsk/Crk/alph/rdx/grnd/PGRP-LF/ben/Mekk1/hppy/Cdc42/ALiX/mbc",30,3.00734993875051
"GO:0007526","GO:0007526","larval somatic muscle development","15/1975","31/12275",2.72022174553677e-05,0.000119004541614302,5.8006485588876e-05,"spz/chn/crp/lid/ap/nsl1/Gug/Kdm2/Alh/pyr/skd/Sin3A/lola/rhea/akirin",15,3.00734993875051
"GO:0036099","GO:0036099","female germ-line stem cell population maintenance","14/1975","29/12275",5.21787468384809e-05,0.000215826868199914,0.000105200675117982,"S6k/AGO1/Pi3K92E/InR/Hrb98DE/foxo/fng/shg/CSN5/CSN4/AdipoR/CSN7/Nedd8/mxt",14,3.00043649061545
"GO:0048102","GO:0048102","autophagic cell death","14/1975","29/12275",5.21787468384809e-05,0.000215826868199914,0.000105200675117982,"rpr/hid/Trf2/bel/EcR/Atg17/hdc/kto/l(3)psg2/BRWD3/BI-1/Eip74EF/Dark/Pak",14,3.00043649061545
"GO:0070868","GO:0070868","heterochromatin organization involved in chromatin silencing","14/1975","29/12275",5.21787468384809e-05,0.000215826868199914,0.000105200675117982,"Su(var)205/ADD1/fl(2)d/CG8677/bin3/upSET/Tlk/MTA1-like/Chrac-16/XNP/Hnf4/AGO2/Khc/r2d2",14,3.00043649061545
"GO:0010975","GO:0010975","regulation of neuron projection development","55/1975","114/12275",8.83612881915078e-16,1.99019995200091e-14,9.70084866247228e-15,"tutl/babos/Prosap/Rheb/sgg/comm/S6k/NetB/fry/PlexA/Pi3K92E/PlexB/Rop/kuz/Rho1/Rab1/fz/bif/cv-c/raptor/mas/pk/G9a/wts/RhoGAPp190/Rok/Fmr1/Abl/Vang/Wnt5/Akt1/Nedd4/lva/trio/Adf1/vvl/mav/me31B/mmy/Rac1/btl/Archease/DCTN1-p150/Dlic/HDAC1/CadN/Sema1a/Imp/spict/LIMK1/rictor/shot/Cdc42/Kr-h1/Pak",55,2.99855651787697
"GO:0016198","GO:0016198","axon choice point recognition","13/1975","27/12275",0.000100271470341755,0.000388551947574302,0.000189392208412908,"tutl/comm/PlexA/RhoGAP93B/alpha-Spec/Abl/Nedd4/Rac1/lola/Sema1a/beta-Spec/shot/sli",13,2.99249882794187
"GO:0046667","GO:0046667","compound eye retinal cell programmed cell death","13/1975","27/12275",0.000100271470341755,0.000388551947574302,0.000189392208412908,"hid/arm/Dl/ec/klu/norpA/aPKC/Ras85D/Diap1/Dark/Egfr/shi/S",13,2.99249882794187
"GO:0070252","GO:0070252","actin-mediated cell contraction","13/1975","27/12275",0.000100271470341755,0.000388551947574302,0.000189392208412908,"RhoGAP71E/Rho1/sqh/Gprk2/tsl/fog/tyn/Rok/mthl1/dyl/Rab35/crb/dia",13,2.99249882794187
"GO:1904580","GO:1904580","regulation of intracellular mRNA localization","13/1975","27/12275",0.000100271470341755,0.000388551947574302,0.000189392208412908,"Syx1A/tsu/Rop/cnc/stau/Rab11/enc/par-1/aPKC/mago/Pka-C1/Khc/didum",13,2.99249882794187
"GO:0016333","GO:0016333","morphogenesis of follicular epithelium","25/1975","52/12275",7.00066373532336e-08,5.00816713373132e-07,2.44113519306691e-07,"sty/ph-p/Parp/Nost/spoon/Src64B/Mettl3/jar/dlg1/Cbl/scrib/sds22/aPKC/Dg/shg/CSN5/CSN4/kug/CSN7/loco/Egfr/crb/egh/csw/cher",25,2.98807205452775
"GO:1903362","GO:1903362","regulation of cellular protein catabolic process","25/1975","52/12275",7.00066373532336e-08,5.00816713373132e-07,2.44113519306691e-07,"rpr/Pomp/Roc1a/sgg/trbl/REG/Rad23/Ufd1-like/Fbl6/vih/Usp47/wds/Usp2/dco/SkpA/Pka-C1/PI31/CSN5/CSN4/sina/CG31855/CkIalpha/CG33144/crb/Cul1",25,2.98807205452775
"GO:0007317","GO:0007317","regulation of pole plasm oskar mRNA localization","12/1975","25/12275",0.000193102510607491,0.000701151811185636,0.000341763027523532,"Syx1A/tsu/Rop/cnc/stau/Rab11/enc/par-1/mago/Pka-C1/Khc/didum",12,2.98329113924051
"GO:0032509","GO:0032509","endosome transport via multivesicular body sorting pathway","12/1975","25/12275",0.000193102510607491,0.000701151811185636,0.000341763027523532,"Vsp37A/CG10103/CG15012/kst/lsn/Vta1/Rab7/Vps28/Vps24/Hrs/CG30423/Chmp1",12,2.98329113924051
"GO:0035285","GO:0035285","appendage segmentation","12/1975","25/12275",0.000193102510607491,0.000701151811185636,0.000341763027523532,"ovo/Dl/ap/Ser/kto/fng/skd/Bx/CycC/bowl/fj/tgo",12,2.98329113924051
"GO:0036011","GO:0036011","imaginal disc-derived leg segmentation","12/1975","25/12275",0.000193102510607491,0.000701151811185636,0.000341763027523532,"ovo/Dl/ap/Ser/kto/fng/skd/Bx/CycC/bowl/fj/tgo",12,2.98329113924051
"GO:0060281","GO:0060281","regulation of oocyte development","12/1975","25/12275",0.000193102510607491,0.000701151811185636,0.000341763027523532,"Syx1A/tsu/Rop/cnc/stau/Rab11/enc/par-1/mago/Pka-C1/Khc/didum",12,2.98329113924051
"GO:0071985","GO:0071985","multivesicular body sorting pathway","12/1975","25/12275",0.000193102510607491,0.000701151811185636,0.000341763027523532,"Vsp37A/CG10103/CG15012/kst/lsn/Vta1/Rab7/Vps28/Vps24/Hrs/CG30423/Chmp1",12,2.98329113924051
"GO:0022604","GO:0022604","regulation of cell morphogenesis","69/1975","144/12275",2.99712766914802e-19,8.55516739619183e-18,4.17005256728777e-18,"ed/tutl/babos/Rheb/scaf/ovo/raw/S6k/NetB/fry/PlexA/PlexB/msn/kuz/Rho1/Rab1/fz/Cad86C/Arpc4/Rab11/ttk/bif/cv-c/raptor/FER/tsl/pk/fog/G9a/wts/RhoGAPp190/tyn/Rok/capt/Rala/Fmr1/BRWD3/SCAR/Abl/Vang/Wnt5/slpr/Nedd4/lva/trio/vvl/me31B/mmy/Rac1/HSPC300/btl/Arpc2/DCTN1-p150/Dlic/Fhos/HDAC1/CadN/dyl/Moe/Rab35/Sema1a/spict/LIMK1/Dok/dia/shot/Cdc42/Pak/Hem",69,2.97811181434599
"GO:0030307","GO:0030307","positive regulation of cell growth","23/1975","48/12275",2.52326762368769e-07,1.59210940512081e-06,7.76043250209497e-07,"bun/Myc/Pdk1/eIF4E1/Rheb/S6k/Pi3K92E/fz/InR/Orct2/raptor/pk/puf/mRpL12/srl/dco/Vang/Wnt5/Akt1/Rac1/Prpk/spict/shot",23,2.97811181434599
"GO:0035075","GO:0035075","response to ecdysone","23/1975","48/12275",2.52326762368769e-07,1.59210940512081e-06,7.76043250209497e-07,"rpr/hid/Trf2/Sec13/Blimp-1/bel/Eip75B/EcR/Oatp74D/ph-p/pzg/G9a/kto/l(3)psg2/BRWD3/Iswi/DOR/E(bx)/su(Hw)/ash2/usp/Kr-h1/Pak",23,2.97811181434599
"GO:0036314","GO:0036314","response to sterol","23/1975","48/12275",2.52326762368769e-07,1.59210940512081e-06,7.76043250209497e-07,"rpr/hid/Trf2/Sec13/Blimp-1/bel/Eip75B/EcR/Oatp74D/ph-p/pzg/G9a/kto/l(3)psg2/BRWD3/Iswi/DOR/E(bx)/su(Hw)/ash2/usp/Kr-h1/Pak",23,2.97811181434599
"GO:0035002","GO:0035002","liquid clearance, open tracheal system","11/1975","23/12275",0.000372810902565473,0.00125415849719517,0.000611315549867846,"colt/TSG101/wus/Np/Hr78/bark/pck/Vha26/Zyx/crim/crb",11,2.97248211337369
"GO:0051491","GO:0051491","positive regulation of filopodium assembly","11/1975","23/12275",0.000372810902565473,0.00125415849719517,0.000611315549867846,"Arp3/ena/hep/SCAR/aPKC/Rac1/HSPC300/kug/Rab35/shot/Cdc42",11,2.97248211337369
"GO:0036315","GO:0036315","cellular response to sterol","10/1975","21/12275",0.000721911948792788,0.00227959709569508,0.00111114596372672,"Sec13/Blimp-1/EcR/Oatp74D/pzg/G9a/Iswi/DOR/E(bx)/usp",10,2.95961422543701
"GO:0071390","GO:0071390","cellular response to ecdysone","10/1975","21/12275",0.000721911948792788,0.00227959709569508,0.00111114596372672,"Sec13/Blimp-1/EcR/Oatp74D/pzg/G9a/Iswi/DOR/E(bx)/usp",10,2.95961422543701
"GO:0106030","GO:0106030","neuron projection fasciculation","10/1975","21/12275",0.000721911948792788,0.00227959709569508,0.00111114596372672,"Arp3/Fas2/Mmp1/mas/Fmr1/SCAR/mmy/Rac1/CadN/bchs",10,2.95961422543701
"GO:1901655","GO:1901655","cellular response to ketone","10/1975","21/12275",0.000721911948792788,0.00227959709569508,0.00111114596372672,"Sec13/Blimp-1/EcR/Oatp74D/pzg/G9a/Iswi/DOR/E(bx)/usp",10,2.95961422543701
"GO:1903052","GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process","18/1975","38/12275",6.28008957859664e-06,3.10025655052981e-05,1.51116070429461e-05,"rpr/Pomp/Roc1a/sgg/trbl/Ufd1-like/Fbl6/wds/Usp2/dco/SkpA/Pka-C1/PI31/sina/CG31855/CkIalpha/CG33144/Cul1",18,2.94403730846103
"GO:0007432","GO:0007432","salivary gland boundary specification","9/1975","19/12275",0.00140293126569915,0.0041568867821281,0.00202619488257517,"Abd-B/NetB/shn/mew/tkv/hth/Med/unc-5/sli",9,2.94403730846103
"GO:0008103","GO:0008103","oocyte microtubule cytoskeleton polarization","9/1975","19/12275",0.00140293126569915,0.0041568867821281,0.00202619488257517,"cnc/Rab11/capt/sktl/mago/Pka-C1/Rab6/poly/Khc",9,2.94403730846103
"GO:0045167","GO:0045167","asymmetric protein localization involved in cell fate determination","9/1975","19/12275",0.00140293126569915,0.0041568867821281,0.00202619488257517,"insc/stau/jar/dlg1/Klp98A/aPKC/Klp10A/baz/Patronin",9,2.94403730846103
"GO:0007424","GO:0007424","open tracheal system development","115/1975","243/12275",1.09654565343366e-30,9.57982157227044e-29,4.66950062945435e-29,"hid/Trf2/CCT3/ed/Blimp-1/Mkp3/scb/arm/colt/Vha100-1/Gasp/Rheb/ich/mbf1/Cad88C/TSG101/esg/dally/Abd-B/noc/Timp/Gli/sty/RhoGEF64C/pasi1/Ubx/ft/Rho1/hdc/sqh/fz/Fas2/grh/InR/Mmp1/obst-A/wus/ttk/Ptp4E/rho/mew/cv-c/Src64B/wts/salm/Rbcn-3B/dmt/Lam/trn/h/elB/Src42A/Mrtf/caps/sgl/ago/Np/Akt1/Hr78/aPKC/pan/aop/crok/Ras85D/bark/peb/cold/VhaPPA1-1/shg/Catsup/Lac/kune/pck/mmy/Vha26/cora/Rac1/tkv/btl/bou/ci/Zyx/Nrx-IV/kug/Smn/fj/DCTN1-p150/Dlic/Mtp/Membrin/pasi2/Pu/Hrs/rhea/dpy/Moe/ple/bnl/vri/ct/Btk29A/Rab35/crim/Egfr/crb/baz/vari/AdamTS-A/shi/dia/csw/shot/Cdc42/Mcr/sli",115,2.9413450018232
"GO:0042176","GO:0042176","regulation of protein catabolic process","34/1975","72/12275",5.76831952132395e-10,5.43466182352188e-09,2.64902186479789e-09,"rpr/Pomp/Roc1a/sgg/trbl/Timp/REG/Rad23/Ufd1-like/Fbl6/vih/Usp47/wds/pic/Usp2/dco/Nedd4/SkpA/Pka-C1/PI31/gus/CSN5/CSN4/sina/Bdbt/ctrip/CG31855/CkIalpha/Oda/CG33144/crb/Rpn1/Rpn2/Cul1",34,2.93495077355837
"GO:2000060","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","17/1975","36/12275",1.19702267971106e-05,5.56615546065642e-05,2.71311592090707e-05,"rpr/Pomp/Roc1a/sgg/trbl/Ufd1-like/Fbl6/wds/dco/SkpA/Pka-C1/PI31/sina/CG31855/CkIalpha/CG33144/Cul1",17,2.93495077355837
"GO:0048190","GO:0048190","wing disc dorsal/ventral pattern formation","25/1975","53/12275",1.12362189359426e-07,7.78702384430829e-07,3.79563569824984e-07,"cbt/nmo/cic/dally/Dl/Sulf1/CG14073/shn/E(spl)mgamma-HLH/ap/tara/Su(Tpl)/fng/MFS14/capt/skd/osa/CG8149/peb/nmd/Rab7/nuf/crb/H/Slh",25,2.93169333651779
"GO:0033674","GO:0033674","positive regulation of kinase activity","24/1975","51/12275",2.12891287639152e-07,1.3886099146237e-06,6.76851319357627e-07,"Gadd45/fry/Pi3K92E/msn/Atg17/Rho1/mbt/hep/Tao/raptor/Src64B/chif/CycY/wnd/ASPP/slpr/Stlk/Rac1/Mekk1/rictor/hppy/Dap160/Cdc42/Pak",24,2.92479523454952
"GO:0031532","GO:0031532","actin cytoskeleton reorganization","16/1975","34/12275",2.28376791103524e-05,0.000100674356078205,4.90717875620802e-05,"CG32264/Arp3/Rho1/Rab11/Rok/SCAR/trio/Dg/Pka-C1/Rac1/Akap200/p130CAS/nuf/rictor/dia/Cdc42",16,2.92479523454952
"GO:0035070","GO:0035070","salivary gland histolysis","16/1975","34/12275",2.28376791103524e-05,0.000100674356078205,4.90717875620802e-05,"rpr/hid/Trf2/bel/EcR/Atg17/hdc/kto/l(3)psg2/BRWD3/BI-1/Fhos/Dif/Eip74EF/Dark/Pak",16,2.92479523454952
"GO:0110116","GO:0110116","regulation of compound eye photoreceptor cell differentiation","16/1975","34/12275",2.28376791103524e-05,0.000100674356078205,4.90717875620802e-05,"ed/neur/sty/mbt/cdi/ttk/Src64B/Src42A/Mbs/aop/sina/Nct/alph/tgo/csw/Kr-h1",16,2.92479523454952
"GO:1901800","GO:1901800","positive regulation of proteasomal protein catabolic process","16/1975","34/12275",2.28376791103524e-05,0.000100674356078205,4.90717875620802e-05,"Pomp/Roc1a/sgg/trbl/Ufd1-like/wds/Usp2/dco/SkpA/Pka-C1/PI31/sina/CG31855/CkIalpha/CG33144/Cul1",16,2.92479523454952
"GO:0006900","GO:0006900","vesicle budding from membrane","8/1975","17/12275",0.00273833581697635,0.00754743992384592,0.00367885510281114,"Sec13/sau/g/Fmr1/Vps24/Sec16/shi/Sec31",8,2.92479523454952
