"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051130","GO:0051130","positive regulation of cellular component organization","15/284","295/12275",0.00364456253504062,0.0253066072608614,0.0177277095010463,"Su(var)205/Rab1/Arp3/Rpt3/Fis1/Rheb/Arpc4/PlexA/Rpt4/Arpc3A/Nipped-B/Cals/Rpt5/mav/mmy",15
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","3/284","14/12275",0.00369155040022297,0.0253066072608614,0.0177277095010463,"Srp9/Srp54k/Sec63",3
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","3/284","14/12275",0.00369155040022297,0.0253066072608614,0.0177277095010463,"Srp9/Srp54k/Sec63",3
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","3/284","14/12275",0.00369155040022297,0.0253066072608614,0.0177277095010463,"aop/rk/arm",3
"GO:0034314","GO:0034314","Arp2/3 complex-mediated actin nucleation","3/284","14/12275",0.00369155040022297,0.0253066072608614,0.0177277095010463,"Arp3/Arpc4/Arpc3A",3
"GO:0007430","GO:0007430","terminal branching, open tracheal system","4/284","28/12275",0.00370694682062192,0.0253066072608614,0.0177277095010463,"Rheb/Ras85D/CCT3/VhaPPA1-1",4
"GO:0035069","GO:0035069","larval midgut histolysis","4/284","28/12275",0.00370694682062192,0.0253066072608614,0.0177277095010463,"Atg8a/Ubi-p63E/hid/rpr",4
"GO:0035071","GO:0035071","salivary gland cell autophagic cell death","4/284","28/12275",0.00370694682062192,0.0253066072608614,0.0177277095010463,"bel/hid/Trf2/rpr",4
"GO:0042045","GO:0042045","epithelial fluid transport","4/284","28/12275",0.00370694682062192,0.0253066072608614,0.0177277095010463,"colt/bark/pck/knk",4
"GO:0042659","GO:0042659","regulation of cell fate specification","4/284","28/12275",0.00370694682062192,0.0253066072608614,0.0177277095010463,"aop/ed/lqf/bun",4
"GO:0070633","GO:0070633","transepithelial transport","4/284","28/12275",0.00370694682062192,0.0253066072608614,0.0177277095010463,"colt/bark/pck/knk",4
"GO:0007265","GO:0007265","Ras protein signal transduction","10/284","158/12275",0.00371001958867407,0.0253066072608614,0.0177277095010463,"Rho1/Rab1/RhoGDI/Ras85D/Pp1-87B/PlexA/Rab6/Rab11/CG15611/cv-c",10
"GO:0031401","GO:0031401","positive regulation of protein modification process","10/284","158/12275",0.00371001958867407,0.0253066072608614,0.0177277095010463,"Su(var)205/Rho1/Ras85D/dod/Alg-2/mav/mmy/Gadd45/stv/rpr",10
"GO:0071310","GO:0071310","cellular response to organic substance","16/284","325/12275",0.00372268479605619,0.0253066072608614,0.0177277095010463,"SkpA/Roc1a/Sec13/aop/Spp/lwr/Rheb/Ras85D/Hsp68/Pka-C1/lqf/ImpL2/mav/rk/Hsp70Bc/Pdk1",16
"GO:0098662","GO:0098662","inorganic cation transmembrane transport","11/284","185/12275",0.00385409582515559,0.0261105126721292,0.0182908589367003,"Ostgamma/crok/PMCA/fwe/Vha14-1/Cyt-c1/Catsup/ATP6AP2/VhaM9.7-b/Vha36-1/VhaPPA1-1",11
"GO:0061077","GO:0061077","chaperone-mediated protein folding","5/284","46/12275",0.00403939108220405,0.0272727595176021,0.0191050326515988,"Hsp26/Hsp68/DnaJ-1/sel/Hsp70Bc",5
"GO:0009135","GO:0009135","purine nucleoside diphosphate metabolic process","4/284","29/12275",0.00422296892347321,0.0276730316348467,0.0193854300886292,"Tpi/Dg/Adk2/Gapdh1",4
"GO:0009179","GO:0009179","purine ribonucleoside diphosphate metabolic process","4/284","29/12275",0.00422296892347321,0.0276730316348467,0.0193854300886292,"Tpi/Dg/Adk2/Gapdh1",4
"GO:0009185","GO:0009185","ribonucleoside diphosphate metabolic process","4/284","29/12275",0.00422296892347321,0.0276730316348467,0.0193854300886292,"Tpi/Dg/Adk2/Gapdh1",4
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","4/284","29/12275",0.00422296892347321,0.0276730316348467,0.0193854300886292,"aop/peb/rk/arm",4
"GO:0043954","GO:0043954","cellular component maintenance","4/284","29/12275",0.00422296892347321,0.0276730316348467,0.0193854300886292,"Rho1/bark/p120ctn/Rab11",4
"GO:0046031","GO:0046031","ADP metabolic process","4/284","29/12275",0.00422296892347321,0.0276730316348467,0.0193854300886292,"Tpi/Dg/Adk2/Gapdh1",4
"GO:0048102","GO:0048102","autophagic cell death","4/284","29/12275",0.00422296892347321,0.0276730316348467,0.0193854300886292,"bel/hid/Trf2/rpr",4
"GO:0070897","GO:0070897","transcription preinitiation complex assembly","4/284","29/12275",0.00422296892347321,0.0276730316348467,0.0193854300886292,"Rpt3/Rpt4/Rpt5/Trf2",4
"GO:0009408","GO:0009408","response to heat","7/284","88/12275",0.00423808645692362,0.0276730316348467,0.0193854300886292,"Hsp26/Sec13/Hsp68/CG5446/DnaJ-1/Parp/Hsp70Bc",7
"GO:0016236","GO:0016236","macroautophagy","7/284","88/12275",0.00423808645692362,0.0276730316348467,0.0193854300886292,"lft/Rheb/Atg8a/Ras85D/CG11781/lqf/hid",7
"GO:0048732","GO:0048732","gland development","11/284","188/12275",0.00435125245770154,0.0283188069788117,0.0198378067182873,"Rho1/bel/lwr/Ras85D/Arl1/shg/Pvf2/hid/Trf2/rpr/rho",11
"GO:0000226","GO:0000226","microtubule cytoskeleton organization","17/284","361/12275",0.00442756195765613,0.0285922590287714,0.0200293645377208,"SkpA/Eb1/Prosbeta5/Non2/TBCB/mago/Pp1-87B/Pka-C1/Rab6/CG17493/Rab11/alphaTub84D/Arp1/capt/bond/cv-c/CCT6",17
"GO:0065002","GO:0065002","intracellular protein transmembrane transport","5/284","47/12275",0.0044364815016935,0.0285922590287714,0.0200293645377208,"Tom7/Tim17b/Srp54k/Tom20/Sec63",5
"GO:0071806","GO:0071806","protein transmembrane transport","5/284","47/12275",0.0044364815016935,0.0285922590287714,0.0200293645377208,"Tom7/Tim17b/Srp54k/Tom20/Sec63",5
"GO:0012502","GO:0012502","induction of programmed cell death","3/284","15/12275",0.0045361732557903,0.0287677441301717,0.0201522948407566,"bel/hid/rpr",3
"GO:0035072","GO:0035072","ecdysone-mediated induction of salivary gland cell autophagic cell death","3/284","15/12275",0.0045361732557903,0.0287677441301717,0.0201522948407566,"bel/hid/rpr",3
"GO:0035078","GO:0035078","induction of programmed cell death by ecdysone","3/284","15/12275",0.0045361732557903,0.0287677441301717,0.0201522948407566,"bel/hid/rpr",3
"GO:0035081","GO:0035081","induction of programmed cell death by hormones","3/284","15/12275",0.0045361732557903,0.0287677441301717,0.0201522948407566,"bel/hid/rpr",3
"GO:0061355","GO:0061355","Wnt protein secretion","3/284","15/12275",0.0045361732557903,0.0287677441301717,0.0201522948407566,"CHOp24/p24-1/Snx3",3
"GO:0007351","GO:0007351","tripartite regional subdivision","9/284","138/12275",0.00476648127042377,0.0299462490127195,0.0209778575875924,"Dg/mago/Ras85D/shg/Pka-C1/Rab6/Rab11/glo/gus",9
"GO:0008595","GO:0008595","anterior/posterior axis specification, embryo","9/284","138/12275",0.00476648127042377,0.0299462490127195,0.0209778575875924,"Dg/mago/Ras85D/shg/Pka-C1/Rab6/Rab11/glo/gus",9
"GO:0016318","GO:0016318","ommatidial rotation","4/284","30/12275",0.00478537201270434,0.0299462490127195,0.0209778575875924,"ed/Ras85D/shg/peb",4
"GO:0035149","GO:0035149","lumen formation, open tracheal system","4/284","30/12275",0.00478537201270434,0.0299462490127195,0.0209778575875924,"Rho1/ich/knk/CCT3",4
"GO:0007028","GO:0007028","cytoplasm organization","7/284","90/12275",0.00479743435065229,0.0299462490127195,0.0209778575875924,"mago/Pka-C1/Rab6/Rab11/jagn/glo/gus",7
"GO:0035075","GO:0035075","response to ecdysone","5/284","48/12275",0.00486060754648686,0.0301509561868013,0.021121258450359,"Sec13/bel/hid/Trf2/rpr",5
"GO:0036314","GO:0036314","response to sterol","5/284","48/12275",0.00486060754648686,0.0301509561868013,0.021121258450359,"Sec13/bel/hid/Trf2/rpr",5
"GO:0010975","GO:0010975","regulation of neuron projection development","8/284","114/12275",0.00493737897558787,0.0305317671854889,0.0213880230423072,"Rho1/Rab1/Rheb/PlexA/vvl/mav/mmy/cv-c",8
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","7/284","91/12275",0.0050971246202813,0.0314217154386906,0.0220114469545328,"SkpA/Roc1a/Rho1/Pp1-87B/Ssdp/CG11523/arm",7
"GO:0090087","GO:0090087","regulation of peptide transport","6/284","69/12275",0.00514847840747818,0.0316400298416229,0.0221643799129173,"Rab1/Snx3/Arl1/Rab11/sel/rho",6
"GO:0009266","GO:0009266","response to temperature stimulus","9/284","140/12275",0.00523426641410842,0.0320679593580408,0.0224641518292307,"Hsp26/Sec13/Hsp68/Pka-C1/CG5446/DnaJ-1/Parp/Hsp70Bc/Ddc",9
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","12/284","221/12275",0.00536812175602423,0.0327868359560249,0.0229677371326575,"Tpi/Dg/Fdh/ND-19/ND-PDSW/Scsalpha1/Cyt-c1/ox/SdhC/Taldo/ND-15/Gapdh1",12
"GO:0042044","GO:0042044","fluid transport","4/284","31/12275",0.00539597524873271,0.0328446184123252,0.0230082147276583,"colt/bark/pck/knk",4
"GO:0010769","GO:0010769","regulation of cell morphogenesis involved in differentiation","7/284","92/12275",0.00541067517422184,0.0328446184123252,0.0230082147276583,"Rho1/Rab1/Rheb/PlexA/vvl/mmy/cv-c",7
"GO:0000578","GO:0000578","embryonic axis specification","9/284","141/12275",0.00548111935929342,0.032973121681274,0.0230982334566952,"Dg/mago/Ras85D/shg/Pka-C1/Rab6/Rab11/glo/gus",9
"GO:0002052","GO:0002052","positive regulation of neuroblast proliferation","3/284","16/12275",0.00548840099956374,0.032973121681274,0.0230982334566952,"E(spl)mbeta-HLH/E(spl)m3-HLH/bun",3
"GO:0007392","GO:0007392","initiation of dorsal closure","3/284","16/12275",0.00548840099956374,0.032973121681274,0.0230982334566952,"Rho1/peb/Rab11",3
"GO:0042981","GO:0042981","regulation of apoptotic process","11/284","194/12275",0.00549828880428296,0.032973121681274,0.0230982334566952,"SkpA/Su(var)205/fwe/Ras85D/Pka-C1/mav/hid/bun/puc/rpr/Pdk1",11
"GO:0032101","GO:0032101","regulation of response to external stimulus","12/284","223/12275",0.00575944999492134,0.0343304999453993,0.0240491000545526,"Gprk1/akirin/lwr/Rheb/PlexA/vvl/knk/Parp/Pvf2/TM9SF2/mmy/Rm62",12
"GO:0043067","GO:0043067","regulation of programmed cell death","12/284","223/12275",0.00575944999492134,0.0343304999453993,0.0240491000545526,"SkpA/Su(var)205/bel/fwe/Ras85D/Pka-C1/mav/hid/bun/puc/rpr/Pdk1",12
"GO:0033206","GO:0033206","meiotic cytokinesis","5/284","50/12275",0.00579381233335455,0.0343304999453993,0.0240491000545526,"Rab1/eIF4E1/Arf51F/Rab11/bond",5
"GO:1901654","GO:1901654","response to ketone","5/284","50/12275",0.00579381233335455,0.0343304999453993,0.0240491000545526,"Sec13/bel/hid/Trf2/rpr",5
"GO:1901700","GO:1901700","response to oxygen-containing compound","17/284","372/12275",0.00594787512217801,0.03513848844501,0.024615109763149,"SkpA/Roc1a/Sec13/Fdh/bel/Sod3/Rheb/Arf51F/Pka-C1/ImpL2/CG17734/hid/Ddc/Trf2/rpr/rho/Pdk1",17
"GO:0031396","GO:0031396","regulation of protein ubiquitination","4/284","32/12275",0.00605654068775574,0.0355687374709915,0.0249165065354261,"Atg8a/Nedd8/dod/rpr",4
"GO:0046716","GO:0046716","muscle cell cellular homeostasis","4/284","32/12275",0.00605654068775574,0.0355687374709915,0.0249165065354261,"Fkbp14/Dg/capt/mbl",4
"GO:0044089","GO:0044089","positive regulation of cellular component biogenesis","9/284","144/12275",0.00627602030856293,0.0367489684734437,0.0257432784586606,"Su(var)205/Arp3/Rpt3/Rheb/Arpc4/Rpt4/Arpc3A/Cals/Rpt5",9
"GO:0030155","GO:0030155","regulation of cell adhesion","5/284","51/12275",0.00630479087075532,0.0368088525836744,0.0257852282980426,"aop/PlexA/peb/rk/arm",5
"GO:0030431","GO:0030431","sleep","6/284","72/12275",0.00633627947565152,0.0368842075048923,0.0258380157040767,"crok/Nedd8/CanB2/Pka-C1/Nipped-B/cv-c",6
"GO:0009896","GO:0009896","positive regulation of catabolic process","8/284","119/12275",0.00637661260134494,0.0370104561803208,0.0259264550519442,"SkpA/Pomp/Roc1a/Pka-C1/gus/sina/hid/rpr",8
"GO:0048589","GO:0048589","developmental growth","17/284","375/12275",0.00642912708465274,0.0371516709059941,0.0260253783729647,"SkpA/Rho1/Dg/Arp3/Rheb/Ras85D/shg/Pka-C1/Rab11/CG15019/jagn/Sep2/hid/kay/bun/arm/Pdk1",17
"GO:0044087","GO:0044087","regulation of cellular component biogenesis","15/284","314/12275",0.00643837520990527,0.0371516709059941,0.0260253783729647,"SkpA/Su(var)205/Rho1/Arp3/Rpt3/mago/Rheb/Arpc4/Rpt4/Pka-C1/Arpc3A/Cals/Rab11/Kank/Rpt5",15
"GO:0008594","GO:0008594","photoreceptor cell morphogenesis","3/284","17/12275",0.00655171624689629,0.0375871582372518,0.0263304446673258,"Ras85D/peb/Bsg",3
"GO:2000179","GO:2000179","positive regulation of neural precursor cell proliferation","3/284","17/12275",0.00655171624689629,0.0375871582372518,0.0263304446673258,"E(spl)mbeta-HLH/E(spl)m3-HLH/bun",3
"GO:0045165","GO:0045165","cell fate commitment","15/284","315/12275",0.0066232761632349,0.0378881936138942,0.0265413250770008,"aop/ed/Pfdn2/Ras85D/peb/CkIIalpha/E(spl)m2-BFM/Rab11/lqf/sina/E(spl)malpha-BFM/kay/bun/rho/arm",15
"GO:0007472","GO:0007472","wing disc morphogenesis","15/284","316/12275",0.00681242500635917,0.0388582288437441,0.0272208512807032,"Rho1/ed/lft/Fkbp14/Dg/Ras85D/shg/Pka-C1/ATP6AP2/corto/gus/mav/cv-c/rho/arm",15
"GO:0010941","GO:0010941","regulation of cell death","13/284","258/12275",0.00709920463485638,0.0402829199360968,0.0282188716614524,"SkpA/Su(var)205/bel/fwe/Rheb/Ras85D/Pka-C1/mav/hid/bun/puc/rpr/Pdk1",13
"GO:0007017","GO:0007017","microtubule-based process","20/284","474/12275",0.00710278185271229,0.0402829199360968,0.0282188716614524,"SkpA/Eb1/Rab1/Prosbeta5/Non2/robl/TBCB/mago/Pp1-87B/Pka-C1/Rab6/ATP6AP2/CG17493/Rab11/alphaTub84D/Arp1/capt/bond/cv-c/CCT6",20
"GO:0002168","GO:0002168","instar larval development","6/284","74/12275",0.00723148669735554,0.0407798326541215,0.0285669674856659,"Sec13/SrpRbeta/bel/Ras85D/rho/arm",6
"GO:1902600","GO:1902600","proton transmembrane transport","6/284","74/12275",0.00723148669735554,0.0407798326541215,0.0285669674856659,"Vha14-1/Cyt-c1/ATP6AP2/VhaM9.7-b/Vha36-1/VhaPPA1-1",6
"GO:0035282","GO:0035282","segmentation","13/284","259/12275",0.00732398511126728,0.0411844488551432,0.0288504080273866,"Dg/mago/Ras85D/vvl/shg/Pka-C1/Rab6/Rab11/cni/wol/glo/gus/arm",13
"GO:0000768","GO:0000768","syncytium formation by plasma membrane fusion","5/284","53/12275",0.00742016582818388,0.0412577847869608,0.0289017810969509,"Rho1/Tpi/Arp3/Arf51F/Gapdh1",5
"GO:0006949","GO:0006949","syncytium formation","5/284","53/12275",0.00742016582818388,0.0412577847869608,0.0289017810969509,"Rho1/Tpi/Arp3/Arf51F/Gapdh1",5
"GO:0007520","GO:0007520","myoblast fusion","5/284","53/12275",0.00742016582818388,0.0412577847869608,0.0289017810969509,"Rho1/Tpi/Arp3/Arf51F/Gapdh1",5
"GO:0140253","GO:0140253","cell-cell fusion","5/284","53/12275",0.00742016582818388,0.0412577847869608,0.0289017810969509,"Rho1/Tpi/Arp3/Arf51F/Gapdh1",5
"GO:0120035","GO:0120035","regulation of plasma membrane bounded cell projection organization","9/284","148/12275",0.00747058038694647,0.0414220728158903,0.0290168676599714,"Rho1/Rab1/Arp3/Rheb/PlexA/vvl/mav/mmy/cv-c",9
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process","4/284","34/12275",0.0075343038705548,0.041428235964131,0.0290211850503073,"Tpi/Dg/Adk2/Gapdh1",4
"GO:0035070","GO:0035070","salivary gland histolysis","4/284","34/12275",0.0075343038705548,0.041428235964131,0.0290211850503073,"bel/hid/Trf2/rpr",4
"GO:0045747","GO:0045747","positive regulation of Notch signaling pathway","4/284","34/12275",0.0075343038705548,0.041428235964131,0.0290211850503073,"ed/Fkbp14/E(spl)m2-BFM/lqf",4
"GO:0019725","GO:0019725","cellular homeostasis","12/284","231/12275",0.00755689495783811,0.0414376698654935,0.0290277936589245,"Fkbp14/Dg/PMCA/fwe/Atox1/Catsup/CG6523/prtp/uex/capt/icln/mbl",12
"GO:0098655","GO:0098655","cation transmembrane transport","11/284","203/12275",0.00765268471873808,0.0418473255280856,0.0293147644293258,"Ostgamma/crok/PMCA/fwe/Vha14-1/Cyt-c1/Catsup/ATP6AP2/VhaM9.7-b/Vha36-1/VhaPPA1-1",11
"GO:0045666","GO:0045666","positive regulation of neuron differentiation","6/284","75/12275",0.00771182166498301,0.0419191952813276,0.0293651104158206,"Roc1a/Rab1/Rheb/Ras85D/PlexA/mmy",6
"GO:0035146","GO:0035146","tube fusion","3/284","18/12275",0.00772918159847148,0.0419191952813276,0.0293651104158206,"ed/shg/arm",3
"GO:0035147","GO:0035147","branch fusion, open tracheal system","3/284","18/12275",0.00772918159847148,0.0419191952813276,0.0293651104158206,"ed/shg/arm",3
"GO:0009948","GO:0009948","anterior/posterior axis specification","9/284","149/12275",0.00779469751410672,0.0420447678410376,0.0294530761331092,"Dg/mago/Ras85D/shg/Pka-C1/Rab6/Rab11/glo/gus",9
"GO:0031344","GO:0031344","regulation of cell projection organization","9/284","149/12275",0.00779469751410672,0.0420447678410376,0.0294530761331092,"Rho1/Rab1/Arp3/Rheb/PlexA/vvl/mav/mmy/cv-c",9
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","7/284","99/12275",0.00802638660496976,0.0430604945028629,0.0301646099632941,"Arp3/Rpt3/Arpc4/Rpt4/Arpc3A/Kank/Rpt5",7
"GO:0031647","GO:0031647","regulation of protein stability","5/284","54/12275",0.00802638940355631,0.0430604945028629,0.0301646099632941,"SkpA/Snx3/Nedd8/DnaJ-1/CkIIalpha",5
"GO:0042325","GO:0042325","regulation of phosphorylation","12/284","233/12275",0.00806871990047837,0.0431709137532333,0.0302419605292437,"SkpA/Rho1/Dg/Ras85D/peb/Alg-2/mav/Gadd45/kay/kek1/puc/rho",12
"GO:0009306","GO:0009306","protein secretion","6/284","76/12275",0.00821473912552645,0.0438340246348656,0.03070648099836,"CHOp24/Rab1/p24-1/Snx3/sel/puc",6
"GO:0009880","GO:0009880","embryonic pattern specification","12/284","234/12275",0.00833462305587634,0.0443425427973696,0.0310627066341377,"Dg/mago/Ras85D/shg/Pka-C1/Ssdp/Rab6/Rab11/cni/glo/gus/arm",12
"GO:0021782","GO:0021782","glial cell development","4/284","35/12275",0.00835471587214922,0.0443425427973696,0.0310627066341377,"pasi1/Cont/pck/kune",4
"GO:0032535","GO:0032535","regulation of cellular component size","10/284","178/12275",0.00846314957263753,0.0446882402118777,0.0313048735621851,"Arp3/Rheb/Arpc4/Ras85D/Arpc3A/Nipped-B/Kank/Pvf2/icln/Pdk1",10
"GO:0007548","GO:0007548","sex differentiation","7/284","100/12275",0.00846487572779145,0.0446882402118777,0.0313048735621851,"aop/janA/shg/hid/puc/rpr/Pdk1",7
"GO:0006915","GO:0006915","apoptotic process","13/284","265/12275",0.00879371576045438,0.0462079765229456,0.0323694747378026,"SkpA/Su(var)205/Fis1/fwe/Ras85D/Pka-C1/mav/hid/bun/puc/rpr/Pdk1/mbl",13
"GO:0098660","GO:0098660","inorganic ion transmembrane transport","11/284","207/12275",0.00879930233031407,0.0462079765229456,0.0323694747378026,"Ostgamma/crok/PMCA/fwe/Vha14-1/Cyt-c1/Catsup/ATP6AP2/VhaM9.7-b/Vha36-1/VhaPPA1-1",11
"GO:0009799","GO:0009799","specification of symmetry","3/284","19/12275",0.00902346165735805,0.0471357141838308,0.0330193707738781,"Rho1/shg/puc",3
"GO:0009855","GO:0009855","determination of bilateral symmetry","3/284","19/12275",0.00902346165735805,0.0471357141838308,0.0330193707738781,"Rho1/shg/puc",3
"GO:0046034","GO:0046034","ATP metabolic process","9/284","153/12275",0.0091995563739775,0.0479085859356534,0.0335607806024119,"Tpi/Dg/ND-19/ND-PDSW/Cyt-c1/ox/SdhC/ND-15/Gapdh1",9
"GO:0035017","GO:0035017","cuticle pattern formation","4/284","36/12275",0.00923151444207216,0.0479085859356534,0.0335607806024119,"Sec13/SrpRbeta/gus/arm",4
"GO:0060828","GO:0060828","regulation of canonical Wnt signaling pathway","6/284","78/12275",0.00929058196680316,0.0479085859356534,0.0335607806024119,"SkpA/Roc1a/Rho1/Pp1-87B/Ssdp/CG11523",6
"GO:0007417","GO:0007417","central nervous system development","14/284","297/12275",0.00932497834854439,0.0479085859356534,0.0335607806024119,"pasi1/robl/cold/vvl/shg/mbf1/Cont/Nipped-B/pck/kune/mmy/bun/rpr/rho",14
"GO:0014902","GO:0014902","myotube differentiation","5/284","56/12275",0.00934036410936921,0.0479085859356534,0.0335607806024119,"Rho1/Tpi/Arp3/Arf51F/Gapdh1",5
"GO:0046843","GO:0046843","dorsal appendage formation","5/284","56/12275",0.00934036410936921,0.0479085859356534,0.0335607806024119,"ed/cni/gus/bun/puc",5
"GO:0048568","GO:0048568","embryonic organ development","5/284","56/12275",0.00934036410936921,0.0479085859356534,0.0335607806024119,"Rho1/Ras85D/shg/Pvf2/puc",5
"GO:0035592","GO:0035592","establishment of protein localization to extracellular region","6/284","79/12275",0.00986462547223536,0.0504672205216165,0.0353531477179135,"CHOp24/Rab1/p24-1/Snx3/sel/puc",6
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","4/284","37/12275",0.0101661392938686,0.0518760578363218,0.0363400622573412,"Atg8a/Nedd8/dod/rpr",4
"GO:1902531","GO:1902531","regulation of intracellular signal transduction","15/284","331/12275",0.0102071665061645,0.0519074570553767,0.0363620579451956,"SkpA/Sec13/ed/Rheb/Ras85D/Pp1-87B/peb/Alg-2/ImpL2/CG15611/mav/cv-c/Gadd45/puc/Pdk1",15
"GO:0071495","GO:0071495","cellular response to endogenous stimulus","12/284","241/12275",0.0103932116144931,0.0519074570553767,0.0363620579451956,"SkpA/Roc1a/Sec13/aop/lwr/Rheb/Ras85D/lqf/ImpL2/mav/rk/Pdk1",12
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","7/284","104/12275",0.0103964630236897,0.0519074570553767,0.0363620579451956,"SkpA/Pomp/Roc1a/Pka-C1/sina/hid/rpr",7
"GO:0000912","GO:0000912","assembly of actomyosin apparatus involved in cytokinesis","3/284","20/12275",0.0104368441561973,0.0519074570553767,0.0363620579451956,"Rho1/bond/cv-c",3
"GO:0008362","GO:0008362","chitin-based embryonic cuticle biosynthetic process","3/284","20/12275",0.0104368441561973,0.0519074570553767,0.0363620579451956,"knk/mmy/puc",3
"GO:0035293","GO:0035293","chitin-based larval cuticle pattern formation","3/284","20/12275",0.0104368441561973,0.0519074570553767,0.0363620579451956,"Sec13/SrpRbeta/arm",3
"GO:0045010","GO:0045010","actin nucleation","3/284","20/12275",0.0104368441561973,0.0519074570553767,0.0363620579451956,"Arp3/Arpc4/Arpc3A",3
"GO:0045610","GO:0045610","regulation of hemocyte differentiation","3/284","20/12275",0.0104368441561973,0.0519074570553767,0.0363620579451956,"Cyt-b5/lwr/DnaJ-1",3
"GO:2000648","GO:2000648","positive regulation of stem cell proliferation","3/284","20/12275",0.0104368441561973,0.0519074570553767,0.0363620579451956,"E(spl)mbeta-HLH/E(spl)m3-HLH/bun",3
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","6/284","80/12275",0.0104634866288856,0.0519074570553767,0.0363620579451956,"ND-19/ND-PDSW/Cyt-c1/ox/SdhC/ND-15",6
"GO:0019220","GO:0019220","regulation of phosphate metabolic process","13/284","271/12275",0.0104860908207587,0.0519074570553767,0.0363620579451956,"SkpA/Rho1/Dg/Ras85D/PlexA/peb/Alg-2/mav/Gadd45/kay/kek1/puc/rho",13
"GO:0051174","GO:0051174","regulation of phosphorus metabolic process","13/284","271/12275",0.0104860908207587,0.0519074570553767,0.0363620579451956,"SkpA/Rho1/Dg/Ras85D/PlexA/peb/Alg-2/mav/Gadd45/kay/kek1/puc/rho",13
"GO:0030866","GO:0030866","cortical actin cytoskeleton organization","5/284","58/12275",0.0107954529705184,0.0533059058370126,0.0373416951402326,"Rho1/Arpc4/Rab11/bond/cv-c",5
"GO:0022416","GO:0022416","chaeta development","6/284","81/12275",0.0110877099688382,0.0546131620053198,0.0382574503561063,"Fkbp14/Arp3/CkIIalpha/Rab11/jagn/capt",6
"GO:0007310","GO:0007310","oocyte dorsal/ventral axis specification","4/284","38/12275",0.0111599604372165,0.0548329739303832,0.0384114323542549,"CkIIalpha/cni/sel/glo",4
"GO:0009636","GO:0009636","response to toxic substance","9/284","158/12275",0.0112158290140498,0.0549714088713307,0.0385084083887195,"Fdh/Sod3/Catsup/Arf51F/Pka-C1/CG17734/Hsp70Bc/Ddc/rho",9
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","7/284","106/12275",0.0114742283422151,0.0560993676337366,0.0392985627173093,"Rho1/shg/Pka-C1/Rab11/CG15019/kay/arm",7
"GO:0001752","GO:0001752","compound eye photoreceptor fate commitment","5/284","59/12275",0.0115779997399867,0.0564676400095176,0.0395565437903077,"aop/Ras85D/sina/kay/rho",5
"GO:0007476","GO:0007476","imaginal disc-derived wing morphogenesis","14/284","306/12275",0.0119012768115231,0.0579020452717485,0.040561369112544,"Rho1/ed/lft/Fkbp14/Dg/Ras85D/shg/Pka-C1/ATP6AP2/corto/mav/cv-c/rho/arm",14
"GO:0006023","GO:0006023","aminoglycan biosynthetic process","3/284","21/12275",0.0119712602259287,0.0579584184108987,0.0406008594568724,"exp/knk/mmy",3
"GO:0007370","GO:0007370","ventral furrow formation","3/284","21/12275",0.0119712602259287,0.0579584184108987,0.0406008594568724,"Rho1/shg/arm",3
"GO:0010770","GO:0010770","positive regulation of cell morphogenesis involved in differentiation","4/284","39/12275",0.012214277059214,0.0589910947993671,0.0413242668593207,"Rab1/Rheb/PlexA/mmy",4
"GO:0007350","GO:0007350","blastoderm segmentation","11/284","217/12275",0.0122493561523603,0.0590169222389204,0.0413423594207153,"Dg/mago/Ras85D/shg/Pka-C1/Rab6/Rab11/cni/glo/gus/arm",11
"GO:0008589","GO:0008589","regulation of smoothened signaling pathway","5/284","60/12275",0.0123982866758108,0.0592369190531682,0.0414964709368873,"Roc1a/Gprk1/Nedd8/Pka-C1/CkIIalpha",5
"GO:0042706","GO:0042706","eye photoreceptor cell fate commitment","5/284","60/12275",0.0123982866758108,0.0592369190531682,0.0414964709368873,"aop/Ras85D/sina/kay/rho",5
"GO:0007315","GO:0007315","pole plasm assembly","6/284","83/12275",0.0124143870660544,0.0592369190531682,0.0414964709368873,"mago/Pka-C1/Rab6/Rab11/glo/gus",6
"GO:0071692","GO:0071692","protein localization to extracellular region","6/284","83/12275",0.0124143870660544,0.0592369190531682,0.0414964709368873,"CHOp24/Rab1/p24-1/Snx3/sel/puc",6
"GO:0006897","GO:0006897","endocytosis","9/284","161/12275",0.0125748264589693,0.0597153840216606,0.0418316437982838,"Rho1/aop/Arf102F/fwe/Arl1/Arf51F/Rab11/lqf/Culd",9
