Geneid,0h-T5-1,0h-T5-2,0h-T5-3,0h-T5-4,2h-T5-1,2h-T5-2,2h-T5-3,2h-T5-4,C-L3-T5-1,C-L3-T5-2,C-L3-T5-3,C-L3-T5-4
BORCS6,95,81,297,6,73,23,176,51,162,17,45,71
Cypl,367,245,860,190,403,437,220,619,617,586,608,366
Hipk,228,268,389,93,553,238,589,349,418,316,214,490
lncRNA:CR46249,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45808,0,0,0,0,0,0,0,0,0,0,0,0
Ppm1,0,0,0,0,0,0,0,0,0,0,0,0
Kah,8,2,0,0,154,0,0,0,0,0,0,0
MED14,22,76,336,90,48,84,9,231,142,205,205,63
CG13893,16,15,0,0,10,10,5,29,0,0,0,0
asRNA:CR45807,0,0,0,0,0,0,0,0,0,0,0,0
Reg-2,10,42,1,0,44,8,37,76,68,12,145,2460
lncRNA:CR44513,0,0,0,0,16,0,0,0,0,0,0,0
lncRNA:CR42719,0,0,0,0,0,0,0,0,0,0,0,0
CG43337,0,0,0,0,0,4,0,0,0,0,0,0
lncRNA:CR43334,38,48,210,39,393,110,216,341,87,26,5,141
lncRNA:CR43423,0,0,0,0,0,0,0,0,0,0,0,0
ban,0,0,0,0,0,0,0,0,0,0,0,0
Gale,60,264,724,39,322,253,400,399,54,261,200,153
CG3402,918,1564,3807,785,3327,2215,2676,3357,1250,1271,1338,883
MED30,51,195,290,48,175,76,71,112,234,39,317,12
Rev1,34,99,739,242,201,93,144,134,48,82,189,0
CG17129,0,14,0,0,0,0,95,0,40,0,89,0
CG3386,125,153,87,38,170,102,167,165,209,139,146,0
ebd1,0,0,0,0,43,2,9,0,2,0,0,0
hiro,0,0,112,39,0,333,232,1,0,0,0,0
CG32483,0,0,0,0,0,0,0,0,0,0,0,0
RabX6,167,142,284,18,207,150,283,366,170,181,176,101
Vti1a,53,171,306,135,168,69,94,50,26,0,87,51
CG13894,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44514,0,0,0,0,0,0,0,0,0,55,0,0
CG13895,0,83,350,75,79,57,132,136,185,391,3,301
CkIIalpha-i3,100,187,9,0,250,151,172,114,218,258,368,375
CG13896,48,160,580,85,335,146,192,228,195,303,190,118
lncRNA:CR45411,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43785,0,0,0,0,15,4,9,0,0,0,4,0
hng3,125,165,635,89,359,222,265,350,156,304,202,130
tRNA:iMet-CAT-1-3,0,0,0,0,0,0,0,0,0,0,0,0
emc,1498,1372,3040,626,2779,1591,1143,2089,3390,2492,2962,1526
tRNA:Ile-TAT-1-1,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Ile-TAT-1-2,0,0,0,0,0,0,0,0,0,0,0,0
CG13898,0,0,0,0,0,0,0,0,28,0,0,0
lncRNA:CR44537,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43883,0,21,0,0,0,0,0,0,49,12,26,68
Sf3b3,0,212,2,113,142,60,135,80,298,443,343,140
lncRNA:CR45184,0,0,0,0,0,0,0,0,0,0,5,0
snoRNA:Me28S-C788b,0,0,0,0,0,3,2,0,0,0,1,8
snoRNA:Me28S-C788a,0,2,0,0,0,0,0,0,3,0,1,0
snoRNA:Me28S-G3113b,0,1,0,0,0,0,0,0,0,0,0,0
snoRNA:Me28S-G3113a,0,2,0,0,0,0,1,0,0,0,0,2
snoRNA:Me5.8S-G74,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:Me28S-A771,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:Psi18S-110,0,0,0,0,0,0,0,0,0,0,0,1
snoRNA:Psi28S-3308,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:Psi18S-1086,0,2,0,0,2,0,0,6,0,11,3,4
CG42553,28,91,32,23,56,71,75,47,0,134,227,49
CG42554,132,81,117,26,216,50,81,136,53,68,207,187
CG13901,75,142,451,78,143,73,148,64,190,139,254,328
CG13887,8450,6591,21013,3976,16019,8538,11706,11380,6052,5669,6582,5090
JMJD5,297,83,239,137,348,124,256,272,188,99,220,82
Gr61a,0,0,0,0,0,0,0,0,0,73,0,0
cep290,0,0,0,0,0,0,0,0,0,0,0,0
Dci,671,342,1132,262,374,366,532,377,413,524,385,332
dpr20,0,0,0,0,0,0,0,0,0,0,0,0
CG12502,0,0,0,0,0,0,0,0,0,0,0,0
Usp10,187,246,575,93,525,278,279,69,261,426,295,437
CG13907,9,140,0,0,256,111,177,224,22,0,14,2
snoRNA:CG32479-b,0,0,0,0,0,0,3,0,0,0,0,0
snoRNA:CG32479-a,0,0,0,0,0,0,0,0,0,0,0,0
CG34056,1787,2552,5309,1204,3580,2035,2458,2449,2508,1500,3051,1979
CG34057,0,0,0,4,0,0,25,75,1,141,223,65
lncRNA:CR46200,0,0,0,0,0,0,0,0,0,0,0,0
CG13905,0,0,63,0,0,0,0,0,0,0,0,0
nerfin-1,0,0,0,0,0,0,0,0,1,0,0,0
Glut1,233,136,697,63,127,147,289,175,642,127,129,811
lncRNA:CR45809,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45810,0,0,0,0,0,0,0,0,0,0,0,0
CG12038,0,0,0,0,0,0,0,0,22,0,0,0
trio,93,247,973,233,820,270,481,399,166,501,81,229
lncRNA:CR45811,3,72,166,66,113,97,0,0,0,0,0,8
CG9205,387,206,990,168,721,507,431,562,559,493,763,274
bab1,0,0,0,0,1,3,0,0,0,0,1,0
bab2,0,7,0,0,2,0,1,0,0,0,0,0
CG13912,0,0,0,0,0,0,0,39,0,0,0,137
Trh,0,0,0,0,0,0,0,0,0,0,0,0
LysX,0,0,0,0,0,0,0,0,0,0,0,0
Aplip1,0,0,0,0,0,0,0,0,0,0,0,0
mwh,868,2353,1317,1269,1213,1788,1250,2082,864,602,1018,431
CG32335,0,0,0,0,0,0,0,0,0,0,0,0
CG9119,0,0,0,0,71,0,1,6,0,0,5,0
LysB,0,0,0,0,0,0,0,0,0,0,0,0
LysC,0,2,0,0,0,0,0,0,0,0,0,0
LysD,0,1,0,9,5,3,0,4,0,0,0,0
LysE,0,0,0,5,2,2,0,0,0,0,0,0
LysP,0,0,0,0,0,0,0,0,0,0,0,0
LysS,0,0,0,2,0,7,0,10,55,12,14,0
CG33965,0,0,0,0,0,0,0,0,0,0,0,8
CG33966,0,0,0,0,0,14,0,0,0,0,0,55
lncRNA:CR45747,0,0,0,0,0,0,0,0,0,0,0,0
CG9194,19,12,0,0,0,9,0,0,0,0,41,0
CG9192,6336,4475,1716,1031,12120,6548,7066,6306,47,0,233,85
Klp61F,41,79,1,24,0,29,33,0,187,105,157,5
CG32318,0,0,0,0,0,0,0,0,0,0,0,0
Psf1,87,90,123,31,64,38,128,55,135,159,109,27
Sac1,357,1430,882,452,963,787,742,1133,1252,1443,2213,927
CG9129,0,0,0,0,0,5,12,0,0,0,0,0
CG9130,0,0,0,0,0,0,0,0,0,0,0,0
CG9133,0,0,0,0,0,0,0,0,0,0,0,0
tfc,0,0,0,0,20,18,0,0,0,0,0,0
CG32333,0,13,0,9,3,0,0,0,0,0,0,0
Rabex-5,262,141,110,117,374,176,536,531,112,189,42,230
scf,114,269,287,52,726,238,597,949,147,64,215,172
Rac1,1476,2304,5244,1329,3869,2672,2295,2977,2197,1687,2607,2047
CG9149,641,555,1955,274,804,556,615,763,1127,373,1468,510
CG2277,211,181,700,37,244,159,19,80,255,114,152,294
Ctr9,220,405,132,148,193,290,134,249,1314,987,404,385
sturkopf,5078,5247,13910,2834,10279,5822,8788,7522,2662,1947,3332,2401
Herc4,87,321,221,231,307,161,333,563,704,146,370,368
Myo61F,413,1141,273,211,791,506,330,468,329,633,861,637
CG9184,227,54,18,54,730,708,766,1008,0,0,0,0
lncRNA:CR45166,2,1,0,0,0,4,0,26,0,0,0,29
ND-ACP,692,1169,2275,574,1030,821,1157,1328,1476,1061,1772,1174
msd1,4,105,304,13,61,7,38,47,101,31,101,89
msd5,308,111,557,56,123,97,79,237,182,182,415,118
CG2211,297,345,1351,161,553,318,208,376,253,216,327,298
l(3)02640,150,92,0,58,301,214,66,202,2,178,485,57
CG2199,120,237,953,288,487,264,302,223,399,523,703,243
Ptp61F,685,798,1896,235,1056,572,428,694,741,553,383,363
312,145,62,75,75,137,113,227,134,159,133,172,170
ru,0,26,1,0,32,1,0,40,0,0,0,0
tRNA:Glu-CTC-3-1,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Glu-CTC-3-2,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Glu-CTC-3-3,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Glu-CTC-3-4,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Glu-CTC-3-5,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Glu-CTC-3-6,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Glu-CTC-3-7,0,0,0,0,0,0,0,0,0,0,0,0
CG32320,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Glu-CTC-3-8,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Glu-CTC-3-9,0,0,0,0,0,0,0,0,0,0,0,0
CG9168,0,0,0,0,0,0,0,0,0,0,0,0
FucTD,0,0,0,0,0,0,0,0,0,0,0,0
CG9173,0,0,0,0,0,0,0,0,0,0,0,0
SA-2,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44842,0,0,0,0,0,0,0,0,0,0,0,0
rho,119,280,776,274,325,88,1,295,2965,1981,1956,1045
Naa30B,0,0,0,0,0,0,0,0,0,0,0,0
stet,0,0,0,0,0,0,0,0,0,0,0,0
robl62A,0,0,0,0,0,0,0,0,0,0,0,0
snmRNA:CR43701,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:Psi28S-2622,0,0,0,0,1,0,0,2,0,0,0,0
CG12084,247,238,538,190,406,116,178,278,128,454,248,240
asRNA:CR45812,0,0,0,3,0,0,0,0,0,0,0,1
hfp,145,230,459,213,715,196,389,581,631,630,731,647
scaRNA:MeU2-48,0,0,0,0,0,0,0,0,0,0,0,0
Psa,76,461,1,148,516,131,183,197,531,550,312,519
cue,0,224,283,64,277,157,44,241,149,446,168,203
Iml1,0,72,106,5,28,60,16,186,261,272,129,277
Ir62a,0,0,0,0,0,0,0,0,0,0,0,0
CG12091,1094,1080,4460,500,2084,1638,1268,1066,2578,1766,2477,1436
pns,0,29,0,98,27,57,14,115,345,225,42,322
CG32313,0,0,0,0,0,0,0,0,0,0,0,0
Pcyt1,1206,1325,2795,817,2100,2129,1375,2502,1106,726,1343,476
asRNA:CR45813,0,0,0,0,0,0,0,0,0,0,0,0
Pcyt2,0,0,0,0,12,14,13,0,0,0,51,0
CG12099,130,758,1133,253,474,658,139,491,2034,1679,1204,1164
Pex10,211,166,143,34,331,86,313,113,260,154,287,101
CG7879,347,117,328,52,73,52,244,70,86,59,339,75
CG12003,16,7,0,0,4,2,62,12,49,0,48,0
CG12004,1161,2155,1587,935,2635,1882,1579,1907,1891,1491,2701,1585
CG13917,46,177,300,70,404,87,144,437,118,300,99,245
CG12104,783,332,2043,363,897,618,821,1186,699,706,202,305
CG18170,0,0,0,0,0,0,0,0,0,0,0,0
CG33791,0,0,0,0,0,0,0,0,0,0,0,0
CG12105,0,0,0,0,0,0,0,0,0,0,0,0
CG13926,1,1,0,0,1,0,0,1,0,3,0,0
asRNA:CR45814,0,0,0,0,0,0,0,0,0,0,0,0
ABCB7,40,473,447,251,394,242,257,203,824,210,252,446
CG33230,91,118,234,88,223,115,169,72,125,265,294,171
GC,0,0,0,0,0,0,0,0,0,0,0,0
CG13928,0,0,0,0,0,5,0,0,23,0,0,0
nSyb,14,0,0,0,18,0,0,0,0,0,0,0
metl,156,438,688,147,461,221,324,437,571,461,1328,853
Bgb,169,206,967,158,583,196,293,426,222,337,368,195
alphaCOP,564,1930,1244,558,1636,1026,413,1897,1762,1530,2173,1078
CG13919,178,124,472,60,250,149,260,304,89,167,213,102
CG17249,84,131,0,29,215,142,176,225,154,178,257,117
Bro,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR45815,0,0,0,0,0,0,0,0,0,0,0,0
CG13920,0,0,0,0,0,3,0,0,0,0,0,0
Vta1,181,321,583,152,498,304,227,413,513,304,604,281
CG7970,671,460,570,253,585,551,236,535,740,825,1309,685
CG7971,160,257,378,211,688,273,398,402,902,409,586,411
CG7974,0,29,0,48,139,126,82,83,271,107,107,49
RpL23A,1324,1364,4126,724,3886,2629,2320,1916,4481,3628,4485,2505
Uhg7,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:Me28S-A2634c,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:Me28S-A2634b,3,0,4,0,0,0,0,0,1,0,0,0
snoRNA:Me28S-A2634a,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:Or-CD15,0,0,0,0,0,0,0,0,0,0,0,0
RabX5,15,11,84,32,102,152,229,49,0,177,0,192
CG13930,0,0,0,0,0,11,0,0,0,0,0,0
CG7991,0,0,0,0,0,0,1,0,0,0,0,0
CG12011,0,0,0,0,0,0,0,0,0,0,0,0
CG13931,0,0,0,0,0,0,0,0,0,0,0,0
drpr,84,680,1319,139,1376,701,242,528,501,323,503,481
CG18171,0,19,12,4,48,3,4,0,6,0,6,1
CG12035,0,0,0,0,3,0,0,0,0,0,0,0
Oseg4,109,15,1,17,27,21,30,0,0,436,97,5
PIG-Wb,0,0,0,0,0,0,0,0,0,0,0,0
Gk2,14,178,1401,145,312,140,72,235,492,399,296,962
CG13921,1,98,56,74,16,29,25,78,29,0,89,54
Cht2,1292,1078,1236,340,1866,1441,995,1372,2598,2647,3259,820
CG8001,75,206,410,143,110,156,152,64,386,136,118,334
Dhc62B,0,0,0,0,0,0,0,0,0,0,0,0
CG13933,43,110,0,51,0,86,20,90,89,185,202,36
asRNA:CR44351,0,0,0,0,0,0,0,0,0,0,0,0
CG12018,102,52,744,68,102,147,35,37,328,139,645,661
CG2021,311,451,532,97,439,342,258,389,259,180,215,206
mRpL46,216,349,883,202,363,263,339,424,824,683,803,871
alpha-Spec,207,535,786,114,825,359,515,561,394,252,336,435
asRNA:CR45834,0,0,0,0,0,0,0,0,2,0,0,0
dlt,0,19,0,8,2,0,0,0,0,0,0,0
Cdc37,1039,1166,4296,888,2372,1543,1900,2165,2348,2002,2682,1690
asRNA:CR45818,0,0,0,0,0,0,0,0,0,0,0,0
CG12020,0,0,0,0,0,0,0,0,0,0,0,0
Patj,79,156,77,59,210,156,60,310,824,306,364,162
JTBR,764,408,1465,177,967,417,634,539,517,307,629,363
CG42676,189,160,215,171,417,236,325,132,170,326,271,133
asRNA:CR45686,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45687,0,0,0,0,0,0,0,0,0,0,0,0
GV1,2958,2044,4142,1151,2226,2084,847,1314,2552,1351,3322,2154
Cpr62Ba,0,0,0,0,0,0,0,0,0,0,0,0
Cpr62Bb,0,0,0,0,0,0,0,0,0,0,0,0
Cpr62Bc,0,1,0,0,0,0,0,0,0,0,0,0
CNMa,0,0,0,0,0,0,0,0,0,0,0,0
CG12024,326,157,129,109,287,287,403,464,274,422,368,492
Rap1,1965,2032,5723,1228,3434,1990,2540,3630,2027,1809,2347,2203
HBS1,120,91,406,18,138,121,105,117,272,147,471,62
CG12025,1264,2135,6247,1004,4115,2585,3876,3633,739,767,947,964
CG13924,0,25,0,0,18,0,61,1,0,0,0,0
dre4,27,217,12,65,194,122,105,116,334,161,359,188
CG13937,0,0,0,0,0,0,0,0,60,0,0,0
Aprt,234,129,255,77,264,238,338,369,232,110,333,189
Tmhs,0,65,0,73,81,104,151,28,0,166,57,89
dsb,0,0,1,0,46,0,0,0,0,0,5,266
Dbx,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Cys-GCA-2-1,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45826,0,0,0,0,0,0,0,0,0,0,0,0
CG5687,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44536,0,0,0,0,0,0,0,0,0,0,0,0
Mfap1,6,87,141,49,169,108,196,43,148,131,124,2
mu2,154,121,8,0,0,0,3,0,145,86,251,275
Cnb,151,339,596,222,411,418,343,604,783,201,1025,452
mv,0,48,1,0,130,16,131,2,443,0,18,56
SCOT,166,408,1101,185,315,254,199,1071,925,109,630,814
asRNA:CR45827,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR45828,0,0,0,0,0,0,0,0,0,0,0,0
CG1927,777,1136,2024,319,1722,933,912,984,1036,801,1183,869
CG11815,0,0,0,0,0,0,0,0,0,0,0,0
CG1139,0,0,0,0,0,0,0,0,0,0,7,0
CG42841,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44535,0,0,0,0,0,0,0,0,0,0,0,0
CG42357,0,0,1,0,0,0,0,0,0,0,0,0
CG42356,0,0,0,0,0,0,0,0,0,0,0,0
CG34259,0,0,0,0,0,0,0,0,0,0,0,0
CG42355,0,0,0,0,0,0,0,0,0,0,0,0
sls,72,67,1,11,24,16,115,0,127,151,121,69
asRNA:CR42860,0,0,0,0,0,2,0,0,0,0,0,0
zormin,1,23,8,16,249,9,1,18,118,215,23,222
asRNA:CR45802,0,0,0,0,0,0,0,0,0,0,0,0
CG15822,5,6,0,0,36,21,0,5,41,74,1,230
CG15879,0,0,0,7,25,25,0,1,331,136,0,21
CG5704,179,85,479,96,398,140,186,296,50,96,223,132
CR15821,0,0,0,0,0,0,0,0,0,0,0,0
CG15820,0,2,0,18,0,0,52,0,0,0,0,269
CG13810,0,0,0,0,0,0,0,0,0,0,0,0
CG5707,0,0,0,0,0,0,0,0,0,0,0,11
CG8960,0,0,0,0,0,0,0,0,0,0,0,0
CG15878,0,0,0,0,0,0,0,0,0,0,0,0
Oseg2,0,0,0,0,0,0,0,0,0,0,0,0
CG9018,75,89,91,74,183,122,252,196,102,211,141,46
ACXD,0,0,0,0,0,0,0,0,0,0,0,0
CG32301,0,0,0,0,0,0,0,0,0,0,0,0
CG32305,0,0,0,0,0,0,0,0,0,0,0,0
CG1275,1203,1184,4782,701,2864,2046,2358,2851,897,746,937,603
CG2034,150,95,160,65,155,200,229,170,159,220,480,322
oxt,8,19,60,8,159,35,0,61,182,41,118,256
CG13807,349,364,1108,215,501,346,719,701,327,234,614,222
ecd,236,359,1313,367,267,361,104,368,595,497,1014,648
CG13806,0,0,0,0,42,0,0,0,0,0,0,0
asRNA:CR45829,0,0,0,0,0,0,0,0,0,0,0,0
obst-I,0,0,0,0,0,0,0,0,0,0,0,0
CG32302,0,0,0,0,0,5,0,0,12,0,0,0
yellow-g,0,0,0,0,30,48,0,0,0,0,0,0
tRNA:Cys-GCA-3-1,0,0,0,0,0,0,0,0,0,0,0,0
yellow-g2,0,0,0,0,0,0,0,0,0,0,0,0
MsR2,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45427,0,0,0,2,0,0,0,0,0,0,0,0
lncRNA:CR45426,0,0,0,1,0,0,0,0,0,0,0,0
MsR1,0,7,0,0,0,0,0,0,0,2,0,1
CG13801,0,0,0,0,0,0,0,0,0,0,0,0
CG1317,16,132,16,9,37,116,84,310,58,44,86,74
CG8993,162,334,451,144,268,119,269,410,280,289,364,395
mRpL23,320,263,897,174,481,229,421,662,1107,601,933,491
CG9004,16,64,0,28,78,43,63,20,155,21,337,7
CG15877,116,237,457,102,155,164,330,327,277,94,473,160
Svil,315,409,435,173,541,321,233,286,240,110,349,231
Mzt1,0,0,0,0,0,0,0,0,0,0,0,0
CG32299,0,0,0,0,0,0,0,0,0,0,0,0
CG32298,0,0,0,0,0,0,0,0,0,0,0,0
CG16762,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4d20,0,0,0,0,0,0,0,0,0,0,0,0
CG1146,2932,1128,7260,1286,2530,767,1404,1433,728,1244,1132,433
CG16758,13,112,1,0,54,5,58,0,1,0,158,2070
lncRNA:CR45425,0,6,0,0,0,0,0,0,0,0,0,0
Spn,12,7,163,45,77,73,75,39,39,8,4,79
lncRNA:CR45170,9,0,9,0,11,0,0,1,0,0,0,0
CG32295,0,0,0,0,0,0,0,0,0,0,0,0
msn,187,235,534,67,811,340,282,490,296,285,111,163
RpL8,2976,2779,12059,1910,5685,3589,4643,5333,9327,5387,9870,7736
dos,76,319,605,109,763,348,447,513,180,300,260,298
CG16984,0,0,0,0,0,0,0,0,0,0,1,0
CG12182,171,53,682,62,396,177,178,21,151,206,150,65
CG16985,1,10,18,12,14,8,4,11,11,14,4,0
CG16986,291,318,1108,175,455,203,610,568,212,173,511,95
Pxn,0,39,0,0,139,7,0,2,0,3,1,32
lncRNA:CR45981,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45982,0,0,0,0,37,0,0,0,0,0,0,0
lncRNA:CR45660,0,0,0,0,0,0,0,0,0,0,0,0
CG42245,0,0,0,0,0,0,0,0,0,0,0,0
MEP-1,7,2,10,0,1,2,0,10,6,0,3,11
CG14949,0,0,0,0,0,0,0,0,0,0,0,0
CG1143,0,0,0,0,0,0,0,0,0,0,0,0
CG1246,5,0,0,0,632,0,0,0,0,0,0,0
ProRS-m,22,55,680,59,223,169,70,217,244,119,328,469
Snup,0,0,0,0,0,0,0,0,0,0,0,0
CG42304,0,0,0,0,0,0,0,0,0,0,0,0
Fife,0,0,0,0,0,5,0,0,0,0,0,0
CG33233,0,0,0,0,0,0,0,0,0,0,0,0
CG33234,0,0,0,0,0,0,0,0,0,0,0,0
Mrtf,100,65,94,23,67,20,132,179,36,106,12,4
Acp62F,0,0,0,0,0,0,0,0,0,0,0,5
Non2,7366,4228,16956,2781,9290,6217,6510,6682,6494,5205,6869,3573
AhcyL1,118,252,395,58,500,336,175,474,73,257,210,236
CG12093,132,443,642,202,707,377,393,834,798,538,594,300
Atg2,37,93,2,23,73,45,0,72,154,0,0,60
mRpS35,457,296,929,197,547,231,383,456,457,394,511,445
Pgant6,194,703,198,258,386,460,509,502,159,112,462,15
Tet,116,99,154,59,248,93,108,74,96,210,164,92
lncRNA:CR44531,0,0,0,0,0,0,0,0,0,0,0,0
spz5,44,4,0,10,0,0,0,8,218,139,66,247
Shab,0,0,0,0,0,0,0,0,0,0,0,0
CG9970,0,0,0,0,0,0,0,0,0,0,0,0
CG32846,0,0,0,0,0,0,0,0,0,0,0,0
CG34025,0,0,0,0,0,0,0,0,0,0,0,0
Or63a,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44530,0,0,0,0,0,0,0,0,0,0,0,0
CPT2,309,619,502,165,476,578,585,453,612,78,895,644
CG2113,0,0,0,0,0,0,0,0,0,0,0,0
FMRFaR,0,0,0,0,0,0,0,0,0,0,0,0
CG32488,0,0,0,0,0,0,0,0,0,0,0,0
CG32487,0,0,0,0,0,0,0,0,0,0,0,0
aly,0,0,0,0,0,0,0,0,0,0,0,0
CG2162,366,934,968,390,544,741,276,1268,458,251,489,568
Jafrac2,1757,2176,7112,1834,4362,2549,4239,4369,1907,999,1899,1112
scramb2,2330,1575,4669,1116,3437,2202,2267,2285,2956,2427,3586,2028
Sk2,413,561,1268,365,811,1008,522,672,610,325,1358,537
CG32485,0,85,216,11,0,10,37,0,58,0,0,17
CG1271,28,15,1,9,186,48,62,112,196,102,242,324
CG16753,261,140,646,109,148,73,199,89,479,449,575,447
CG32486,273,520,464,162,837,589,561,806,288,163,281,70
CG11486,551,575,1277,240,760,281,292,782,701,267,219,620
snRNA:U5:63BC,0,0,0,0,0,0,0,0,0,0,0,0
Cht7,6,261,43,81,89,242,114,290,0,332,188,0
tRNA:Cys-GCA-1-1,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Cys-GCA-1-2,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Cys-GCA-1-3,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Lys-CTT-1-12,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Lys-CTT-1-13,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Cys-GCA-1-4,0,0,0,0,0,0,0,8,0,0,0,0
CG45066,0,0,0,0,0,0,0,0,0,0,0,0
CG45067,0,0,0,0,0,0,0,0,0,0,0,0
prominin-like,454,727,1910,704,825,854,542,601,1135,1680,1329,1416
tRNA:Met-CAT-2-1,0,0,0,0,0,0,0,0,0,0,0,0
CG11537,136,136,0,154,373,281,165,374,116,197,511,230
lncRNA:CR45819,0,0,0,0,0,0,0,0,0,0,0,0
Alg2,281,246,986,166,650,409,738,498,332,500,379,130
Usp5,201,726,580,227,675,547,265,711,776,551,1246,367
BtbVII,1,104,666,57,231,50,42,32,39,184,8,240
ND-30,819,955,2566,561,1511,999,1293,1009,1620,812,1806,1625
CG15812,220,191,8,93,87,162,24,93,179,205,292,172
rasp,1040,1047,2138,497,1645,1165,1490,1465,1829,1295,1515,1139
Asciz,0,150,70,62,248,111,83,41,263,0,6,14
CG32280,1114,1394,2040,620,1430,1151,1049,1025,1773,832,1178,779
CG32278,207,306,1085,124,268,287,394,358,449,379,401,445
CG32281,0,115,465,73,97,111,72,154,97,102,320,4
CG14963,44,13,0,0,0,7,0,25,0,0,0,0
CG14964,26,5,0,0,1,8,0,25,0,0,0,0
Girdin,1,223,182,10,37,30,11,0,0,4,0,87
CG42494,0,0,0,0,0,0,0,0,0,0,0,0
CG32284,0,0,0,0,0,0,0,0,0,0,0,0
CG14957,0,0,0,0,0,0,0,0,0,0,0,0
CG42525,0,0,0,0,0,0,0,0,0,0,0,0
CG14958,0,0,0,0,0,0,0,0,0,0,0,0
CG14965,0,0,0,9,0,33,0,0,119,54,193,35
Hsp83,65129,90643,166158,48692,98814,73757,57073,70366,52099,41561,82526,38140
CG14966,163,122,184,43,280,113,163,161,238,151,133,128
CG32276,4912,6482,11942,2683,7322,5929,8080,8668,3361,2467,3937,3716
gry,32,423,350,25,149,229,19,142,813,711,880,543
CG32271,0,0,0,0,0,0,0,0,0,0,0,0
CG33159,0,0,0,0,0,0,0,0,0,0,0,0
CG32277,0,0,0,0,0,0,0,0,0,0,0,0
CG33160,0,0,0,0,0,0,0,0,0,0,0,0
CG32269,0,0,0,0,0,0,0,0,0,0,0,0
CG32270,0,0,0,0,0,0,0,0,0,0,0,0
hob,0,30,0,15,7,8,7,40,193,1,53,119
nSMase,611,628,731,303,783,441,430,360,614,376,556,340
RpL28,1115,1128,3561,802,1797,1192,1425,1787,2381,1571,2459,1618
snoRNA:Or-CD12,0,0,6,1,0,0,0,0,0,0,0,3
snoRNA:Me28S-C3351,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:Or-CD11c,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:Or-CD11b,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:Or-CD11a,0,0,0,0,0,0,0,0,0,0,0,0
eIF1,3260,3669,11692,2199,4194,3599,4580,5302,3779,2928,5678,3292
Larp4B,86,286,48,40,612,128,359,481,151,100,141,275
CG17746,676,705,1208,422,1437,582,769,878,1616,818,1541,782
CG12078,0,10,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45424,0,12,5,0,50,40,71,22,29,0,11,3
CG43389,6,43,91,10,146,18,49,27,74,57,0,41
lncRNA:CR43626,0,66,59,0,253,27,68,42,173,84,99,386
mir-282,0,0,0,0,0,0,0,0,0,0,0,0
ckd,15,16,59,14,73,71,215,103,710,395,207,353
CG34265,0,0,0,0,0,12,0,0,0,0,0,0
CG14960,0,34,0,0,92,108,126,52,0,0,0,0
CG12017,0,12,0,0,0,19,1,0,41,0,72,183
CG12009,3385,6481,10388,2969,15966,10496,5975,7602,6456,6215,5331,3792
mir-955,0,0,1,1,0,2,0,1,0,0,3,0
CG14968,26,424,1131,296,806,266,647,846,204,133,238,135
