Geneid,WT1_quant,WT2_quant,WT3_quant,WT4_quant
SPARC,289.031467,149.204817,155.499927,360.75561
CG1979,0,0,0,0
Ass,0,0,0,0
CG1307,327.075403,252.849255,283.46605,283.359448
CG5704,18.929548,23.715551,22.311127,25.412065
ADD1,25.905876,34.073692,32.014966,29.20378
hang,14.414801,16.720518,16.562247,25.76985
Pisd,7.613096,11.892996,9.590937,12.762629
CG8677,14.976289,14.623376,15.009617,14.274261
Hmg-2,20.339689,14.949945,18.416553,11.215754
Fie,0,0,0,0
CG5707,0,0,0,0.177763
Axn,22.59938,34.511803,25.687197,38.032921
Apc2,38.653397,38.485372,35.670507,39.403518
Ady43A,30.63034,28.04708,26.464009,21.807542
alpha-Man-IIb,1.548354,3.715992,2.928666,4.863482
Taz,35.464563,29.174175,39.573208,27.866861
tacc,51.319578,76.082833,58.989431,70.439111
nes,43.32022,54.71408,67.936772,46.049096
ldlCp,18.270142,27.545781,24.498817,16.523631
MagR,18.918365,21.113999,18.736977,16.066646
IntS4,17.686847,18.256323,14.895392,23.490086
l(1)G0045,17.297882,11.049457,14.478546,18.324814
l(1)G0007,42.589367,42.725853,40.899256,51.926555
fu12,1.368171,0.81289,2.025857,1.050958
fat-spondin,1.761001,6.382569,5.129256,16.608485
drosha,8.882835,13.749012,10.586533,15.505397
CG6171,77.191204,53.985848,51.786329,48.97909
CG7857,35.639376,38.85969,25.915567,30.524345
mRpL18,61.382037,65.002152,68.151416,51.719477
Yippee,159.556942,123.634854,175.460996,125.688427
XRCC1,32.643475,25.285089,29.346604,28.675781
Ugt37c1,0,0.292003,0.403765,0
Ugt37b1,0,0,0,0
Ugt37a1,0.029345,0.017533,0.018944,0
Tehao,0,0,0,0
Trap1,74.049055,59.851096,67.212589,65.555923
Rad23,266.693788,314.465488,343.084792,288.356108
Nhe1,9.934238,11.794954,8.84331,11.231966
Thd1,7.687335,8.430561,10.616611,9.607499
CG14777,34.544754,30.15194,34.139285,26.707246
MED18,203.886128,126.928945,165.547098,140.095335
CG13358,0.146551,0.065619,0.285691,0.031098
CG11403,26.165138,15.609443,22.327694,21.006244
CG4325,0.104373,0.267264,0.47019,0.685641
CG13364,1216.861503,1393.719923,1488.750487,1198.52833
STUB1,77.521807,73.01376,77.37332,61.339649
CSN5,196.377397,169.092116,174.935373,168.268674
CSN4,223.62762,198.06234,211.641684,187.880581
CSN3,118.877187,128.041735,115.161589,117.305749
CSN1b,98.238244,114.40227,117.972928,100.999588
Eb1,572.620493,808.444885,767.314216,640.862347
CG17322,0.212371,0.179649,0.065095,0.190327
CG4302,0.320847,0.256464,0.311056,0.09103
CG17324,0,0,0,0
ValRS,47.16353,66.595317,60.045257,61.498852
TyrRS,71.970333,84.842176,76.47848,76.150221
ThrRS,224.657923,201.566898,221.983624,213.238817
ProRS-m,31.007472,28.775661,36.842853,27.093236
MetRS-m,18.574247,18.234273,23.180452,18.912224
LysRS,179.920363,138.648445,166.996515,152.913863
LeuRS-m,16.881268,20.170311,16.749664,19.016281
IleRS,55.24756,74.076265,66.773202,89.636092
HisRS,168.632363,128.952952,179.862101,134.489615
GlyRS,150.308985,213.348313,197.157817,220.812678
GlnRS,122.845069,136.720277,133.705548,127.606827
CysRS,53.263381,60.351515,68.069071,57.729416
ArgRS,135.789154,142.037251,156.338374,133.459289
AlaRS,187.586599,229.393491,207.070443,216.55358
Manf,338.978188,551.333849,415.596399,344.199667
Dyrk3,44.450435,61.64321,80.481316,50.35228
Inx7,1.057769,1.218806,2.149298,1.041494
Inx6,0,0,0,0
Inx2,540.526719,821.785469,735.057216,791.085628
NPF,0,0,0,0
miple1,6.190235,3.811055,5.910479,5.461246
Kmn1,82.196348,51.816169,48.108124,58.101749
l(1)G0196,6.913059,6.647513,5.591972,13.791949
l(1)G0193,27.430159,47.947625,31.965643,37.447189
Gmap,4.153371,5.537627,4.881506,6.102863
l(1)G0156,233.653442,208.591894,242.893656,254.676432
temp,9.658497,6.765808,9.630566,7.961783
CCT6,578.53054,600.391601,697.982863,629.730868
l(1)G0020,51.247321,42.28881,59.734433,47.457313
l(1)G0004,317.298922,208.556766,289.345538,209.407384
Rip11,38.91449,46.238728,50.979503,50.417095
Kap-alpha3,316.327611,415.152164,424.474746,378.483176
jim,52.355647,28.021809,37.732591,33.129729
Gfat1,457.961434,355.682992,459.74958,330.383821
fz4,15.861283,25.073759,17.434425,25.315002
fz3,26.525608,35.05291,26.708193,31.589244
bgm,0.664327,1.467159,0,3.323972
Amph,13.649242,16.021867,17.088777,12.282449
Tim9b,18.601162,16.819926,18.909754,18.376038
Tim8,267.936518,236.298189,226.895191,229.963863
Tim10,478.373149,341.340935,388.135164,369.522873
Stam,32.345059,53.630727,59.330188,51.491917
Six4,0,0.058361,0,0
RecQ5,12.69105,14.323114,13.12617,16.655006
rha,0.179164,0.08492,0,0.046218
MRG15,68.125807,65.797525,67.33132,67.140563
Dnz1,18.396494,28.973306,28.632197,22.779245
D12,4.929297,5.125779,4.380362,4.581528
Cdk5alpha,1.778308,1.320962,2.322165,1.188741
wdb,57.211058,88.010456,88.003787,81.851411
AdSS,141.204685,133.054422,147.214125,164.11901
RpS10a,0,0,0,0
Smyd4-4,60.487268,75.490464,62.466725,77.374174
epsilonCOP,160.701274,204.053431,140.766739,167.611444
Madm,43.640252,54.425441,45.000253,54.937552
CG2061,35.293807,37.253266,36.867616,35.286975
wde,24.601516,32.770376,30.067872,31.492177
spd-2,56.545145,44.049926,51.260937,53.113859
CG11970,7.073917,9.020337,5.77631,14.382451
CG8878,42.499045,63.143542,63.773547,54.808797
Rab3-GAP,5.30765,9.773811,9.566595,13.946415
EDTP,20.040784,28.29316,22.41227,21.79733
CG1344,130.480566,116.35474,162.806379,106.868909
Tnks,6.598291,12.987886,9.152266,17.779977
TBCD,41.136886,53.730267,51.601595,61.326842
CG10254,7.974957,12.573381,7.905761,11.791185
ana2,18.778372,9.762617,19.771225,12.992452
CG1024,18.650324,16.803154,16.370566,19.455801
CG7115,15.403825,26.082067,26.057291,23.132518
Wdr24,11.908162,10.922793,15.866032,11.752666
CG3679,43.959209,33.819394,47.941739,34.070724
CG3909,100.133144,83.084891,78.894934,87.835319
LTV1,58.629425,44.638145,47.208618,54.692365
Ublcp1,54.638595,63.347906,55.714368,58.178881
Osi6,0,0.120642,0,0
goe,34.118701,74.160636,43.704605,61.839741
tapas,9.889226,17.129183,15.004821,17.971009
CG7139,18.392518,31.548383,30.040993,31.633684
botv,20.456237,28.790211,30.40927,22.287459
Nup93-1,114.217075,109.003718,122.259915,126.330856
beta4GalNAcTA,16.27525,13.847235,26.098068,12.794025
lili,29.010369,38.790039,45.099568,33.309704
CG2217,1.665498,0.254591,1.770957,0.497327
CG4766,89.616724,91.963645,116.689415,70.891992
CG1927,177.458639,202.094458,172.373548,226.792464
nito,84.397782,117.017838,135.968474,109.805697
CG7927,147.489796,135.405224,173.082548,111.76042
CG6495,0.184827,0,0.26517,0.056681
CG10863,7.812819,2.842229,5.086223,7.235905
NELF-B,26.375105,27.053724,30.394013,31.802246
CG8042,31.704405,41.213254,35.115968,34.149595
CG4928,7.027525,17.54105,8.4615,10.725053
Pgant3,25.047939,39.383101,32.451682,29.191225
Tps1,0,0.016588,0.045739,0.22197
CG18659,29.134564,36.890619,51.01281,44.400936
CG10345,0.108234,0,0,0
CG9631,0,0,0,0
CG3149,15.375004,16.315007,16.725016,15.378039
CG5498,112.325039,69.456688,86.901763,68.254372
CG8108,106.895224,135.283619,137.050371,130.714098
Cand1,34.67882,57.715845,42.022952,61.284305
cert,45.743032,49.104706,50.161002,51.92597
Nep2,92.751625,150.875883,138.228991,107.232583
CG5009,13.312941,19.106508,21.270666,19.887719
CG5815,16.992024,22.727155,23.481848,19.070356
GABA-B-R2,2.123157,0.819548,1.079354,1.740299
CG14526,1.271881,0.088999,0.012094,0.767302
mino,20.000988,19.588178,22.771386,23.984301
PCB,7.289678,7.784835,10.202014,17.724536
CG6191,101.295475,183.275828,254.411523,156.57371
CG6230,25.015517,55.257163,33.701408,51.63183
CG7601,41.40479,33.073923,32.488778,35.891744
CG4757,0,0.164874,0,0.099282
CG8740,10.839127,17.00837,15.392245,18.047928
CG5867,0.290915,0.529158,1.188171,6.143694
CG7028,17.023963,25.226942,20.179856,23.753242
GCS2alpha,242.594062,292.615103,281.309972,296.944046
CG1688,0,0.049047,0,0
GstE12,587.437299,479.318224,467.688933,505.522713
MED15,70.353649,76.223505,85.408117,79.892235
drpr,27.667336,43.144181,38.257562,39.346909
Kank,14.323085,14.326403,15.972044,24.134187
CG17712,64.684681,65.109889,56.398889,64.429662
cindr,39.301061,57.073552,53.494499,45.908152
CG2790,30.835465,20.58286,33.444072,22.531704
obst-B,520.234926,195.531147,248.941894,284.935529
pdgy,98.043396,115.323561,106.78431,124.118428
CG8611,22.308183,24.77848,25.752512,28.280883
Ulp1,7.208621,12.957482,11.683762,15.366485
CG8230,64.822249,104.926078,87.382485,81.474867
CG2082,1.264672,2.037005,3.796155,1.882221
morgue,33.760081,37.396492,37.335187,31.081
Dic1,27.685991,32.427405,27.916109,36.75017
LManII,10.395224,13.032877,14.025568,25.470062
CG6404,33.720069,28.402283,28.850128,28.07292
Ythdc1,95.902743,83.116192,104.228623,92.188195
CG5808,22.705257,17.888938,23.011602,17.273059
eIF3j,276.425115,224.533269,258.54792,233.091394
Acf,21.221203,23.157058,25.699534,29.995278
Pfrx,16.848878,12.579932,14.213907,15.517068
jdp,1.783845,0.837389,0.728778,1.522401
htt,1.532298,1.294004,1.39087,2.414756
glob1,5.158999,1.826215,4.558628,7.223306
blot,41.686925,65.953918,53.57501,64.416346
VhaSFD,109.616912,120.385281,122.921912,119.024085
Aasdh,9.57731,13.705282,21.482053,14.005262
SMC2,44.945664,35.135972,44.853389,45.382404
Prp18,36.045662,28.108801,26.947643,32.349863
NP15.6,395.453354,323.312203,293.498899,334.650253
Mtch,226.256853,198.507287,233.834158,187.867104
Hey,0,0,0,0
GV1,529.368971,586.357959,735.036558,403.060153
O-fut2,43.099358,20.703946,20.574555,33.828294
CG14787,4.259522,3.53389,2.86439,2.808131
Lrpprc2,38.391508,33.959089,32.173398,42.824392
CG14785,2.250044,3.160456,2.023359,5.380951
Dp1,76.309572,183.735567,99.430597,169.573507
Dgp-1,55.290988,61.391799,59.197352,60.670301
CstF64,95.32182,81.20457,91.447152,77.266311
CAH2,152.814799,140.633351,325.419614,68.941927
CAH1,52.329377,57.69289,32.952126,56.338017
Ogg1,20.234286,16.888936,19.106772,18.125739
Tsp96F,38.785288,55.970544,60.835327,45.77953
CG9776,31.191975,35.156112,31.313121,42.946962
Nup107,143.702113,122.522117,149.793518,127.354853
rdgBbeta,31.42562,22.075891,32.156801,20.720798
Cpsf100,18.211678,20.15965,21.436107,21.517716
Aac11,133.805232,121.856813,138.836669,107.683569
ball,97.569676,72.689528,92.426108,89.827683
CG12018,66.319902,35.68611,50.993199,46.727792
NimB1,0.638154,0.343968,0.047558,2.243505
MP1,178.868818,230.641609,198.544229,208.25151
Akap200,1206.993778,1209.253334,1251.114386,1145.371548
ppl,79.813289,54.550889,65.376861,59.057125
msps,9.509819,14.166831,10.180074,23.229899
msb1l,75.695745,53.97084,56.103793,67.345515
MBD-like,110.022246,94.086183,97.158141,99.915712
MTA1-like,51.639652,85.255859,74.797445,91.098571
ric8a,9.40489,12.974998,10.597979,8.861349
Pdha,96.950703,102.952507,99.664721,102.502518
l(1)G0320,241.676451,487.522821,291.462781,340.269768
l(1)G0289,84.514644,126.276527,100.201333,126.41405
Ptpmeg2,50.003182,54.119197,66.036175,57.05779
ATPsyndelta,912.750515,640.104947,602.433292,661.622879
Ankle2,28.063887,30.345362,31.100868,38.168119
Cdc7,13.094888,18.065092,25.52828,18.385252
kirre,1.205125,1.431839,1.319916,2.020069
kek3,0.00996,0,0,0
jbug,22.270236,29.178453,21.45453,43.324796
isopeptidase-T-3,7.638374,7.484046,8.348415,6.464229
Hug,0,0,0,0
heix,24.819115,47.029826,31.398336,28.869937
gdl-ORF39,0,0,0,0
fan,0,0,0,0.103267
fal,19.120969,23.361471,22.338243,23.838788
Decay,0.467564,0.025913,0,0
cyp33,96.217748,65.453171,83.713884,71.575984
chm,28.090275,28.784366,37.36495,25.352462
CG17834,37.252006,40.027869,56.817486,35.3903
TotA,0.996601,0.615911,0.832828,4.224163
Tob,0.2048,0.753802,0.162164,0.409948
Taf10,155.676816,162.717023,180.253189,154.319104
TMS1,57.888874,82.399738,77.872588,71.784183
Syt4,0,0.141125,0,0.126682
Sin,67.064497,65.648791,60.508571,57.961987
Drep4,19.728212,25.744734,33.597907,21.874209
Drep3,0.481348,0.339426,0.541862,0.144568
Drep2,0.136389,0.170711,0.038333,0.065841
Pk34A,0,0,0,0
Nxt1,495.990737,349.822701,386.297624,390.022081
Mst33A,0.099806,0,0,0
Met75Cb,0,0,0,0
Met75Ca,0,0,0,0
Lk,3.118282,2.39861,1.43806,3.939604
Kap3,10.684135,24.557872,13.334774,19.41834
GluRIID,0.130949,0,0,0.328879
JhI-26,1.838333,0.992788,0.200456,0.963374
JhI-21,104.603323,159.7579,174.641154,120.61878
RNaseZ,19.050921,21.648106,19.643248,25.006146
Ilk,60.195359,65.327535,57.732193,56.80532
I-2,70.587754,69.112715,89.758872,74.611349
He,7.737978,3.964542,8.402853,45.898191
Ercc1,44.893141,32.155562,37.115967,34.442755
ECSIT,33.429236,23.542611,24.696092,23.215979
CG11070,10.105528,14.073234,13.306874,13.211221
rtet,66.797641,57.693874,53.245185,54.002377
Nab2,16.047622,19.964888,24.322765,19.485329
Non1,248.131227,176.662787,225.279492,266.262384
CG4119,14.675891,18.754098,17.454142,26.611678
Hrd3,17.570996,37.195537,33.92996,33.426685
Usp1,6.693299,7.879369,10.355566,9.785244
Mtpalpha,340.922706,392.167735,395.279831,355.9929
CG17841,83.033095,66.898972,76.431344,83.053946
CG4341,0,0,0,0.029305
bdl,0.523883,0,0,0.247033
Ack,9.997202,18.200636,11.311264,19.353747
f-cup,10.264316,6.604454,9.039403,8.62973
CG31705,23.02492,29.195323,22.20365,43.254011
CG2930,0.678321,5.410446,2.110561,5.051541
CG6424,3.728133,6.264026,6.374248,6.421469
CG30116,0,0,0,0.043826
CG3530,12.507781,17.803096,17.017026,17.423784
CG7985,35.600339,34.028074,36.922776,38.453062
Rich,7.607907,17.33033,9.954861,17.575677
CG12182,23.298622,27.404195,26.884551,18.922124
CG4455,382.756979,445.037222,444.81744,316.591726
CG3793,69.926478,69.629305,81.365981,68.681565
CenG1A,11.658913,16.306636,10.55225,17.047118
CG9254,0.403127,0.497673,0.629405,0.316307
CG4793,0.976014,0.197251,0.426857,2.098695
EndoGI,147.889211,137.830361,140.246255,164.054807
ZnT35C,0,0,0,0
CG18478,0,0,0,0.694348
CG18480,0,0,0,0
hll,0,0,0.149126,0
CG4891,0,0,0,0
CG5888,5.502862,3.321293,4.202644,3.861771
c(2)M,0.186712,0.04633,0.031834,0.219038
CG15293,0,0,0,0
CG18507,51.308737,86.637594,47.652376,68.157564
mTTF,49.855571,32.621602,35.196737,33.402824
CG15286,0.047619,0,0,0
CG7968,0,0,0,0
CG7953,0,0.161088,0,0
CG7916,0.053325,0,0,0
CG31775,3.44336,1.277023,0.982933,8.652472
Sec71,5.140402,14.622889,9.733995,16.446373
Eato,16.58913,34.084762,19.66102,36.566298
CG9008,11.119841,17.114848,7.292936,15.466738
TM9SF4,145.793009,175.120662,197.404791,119.56563
NimB4,2.919754,0.293922,2.934888,13.597386
NimB2,0.41045,0.09574,0.127642,2.113775
CG16884,0,0.381123,7.672651,1.576293
ics,78.074055,93.018317,86.290608,96.165091
Atf3,2.622775,0.496662,1.230475,2.116307
gammaSnap1,43.040522,33.623454,40.055218,34.73926
x16,80.473202,80.639812,78.38707,75.806667
sut4,0,0,0,0
sut3,0,0,0,0
sut2,0.977169,1.028974,0.519556,1.54704
sut1,50.065809,62.718765,53.113727,52.165452
robl62A,0,0,0,0
robl37BC,0,0,0.484785,0
robl22E,0,0,0,0
qtc,0.045629,0.799995,0.514264,0.309434
prc,0,0,0,0
hfp,87.086788,82.783006,108.173035,79.450086
phtf,16.205185,18.54855,22.847886,22.0099
lqf,27.235527,61.79456,55.505296,53.776531
lcs,0,0,0,0.483532
qsm,314.431246,359.671203,346.036519,235.129692
beat-Ic,0,0,0,0
beat-Ib,0,0,0,0
aralar1,32.140427,46.929913,52.460834,45.586934
CG11902,5.015968,7.670119,8.540708,7.164569
mRpL50,92.104975,75.04152,65.947689,79.437192
Adat1,7.8688,4.250588,6.874413,5.580715
VhaPPA1-1,388.983875,313.168272,402.853648,267.217731
VhaM9.7-b,296.432144,263.251287,268.756678,244.067176
VhaM9.7-c,33.891388,46.095684,30.84479,37.603343
Vha16-3,0,0,0,0
Vha16-2,0,0,0,0
Vha100-3,0,0,0,0.049533
Vha100-2,65.554805,100.422577,89.256884,107.472233
Vha100-1,45.768218,65.640473,62.587344,68.346645
Sur,0,0,0,0
spt4,189.255633,166.652748,163.600212,154.201674
Rpt5,274.91134,323.743979,326.029523,289.074637
Rpt4,351.199414,409.186827,415.26362,362.088843
Rpt3,578.646248,498.669063,692.168415,459.87224
Rpt1,345.248764,414.240545,409.437884,382.133411
Rpn7,371.492445,436.048531,412.432282,366.935016
Rpn6,323.223177,411.315164,433.763711,348.889368
Rpn5,222.204625,258.029605,300.951735,244.032008
Rpn9,417.067157,482.983662,467.897748,458.024362
Rpn2,109.57706,184.404235,148.328857,166.917268
Rpn12,350.619662,319.555144,287.683366,304.231273
Rpn11,381.427967,461.509586,486.792173,448.137683
Rpn1,239.797343,301.482031,351.805346,273.438202
RpL15,1018.314966,969.244463,987.481963,1405.781453
Rh50,0.498401,0.319109,0.609856,0.281529
RfC38,97.206016,68.269475,77.261863,97.556376
Nhe3,27.276334,33.312871,36.826134,29.33806
Nckx30C,0.0364,0.005327,0.017296,0
Mt2,22.302072,16.837218,20.326231,25.02927
Mst85C,94.928665,74.205962,83.518573,70.255711
Lnk,27.47266,31.741653,31.272422,29.732266
Fmr1,121.596502,187.818217,172.815289,186.368321
eEF1beta,2162.086941,1846.580751,1763.486256,2143.697104
ETH,18.215777,16.625912,28.651014,77.000723
CG6362,0.02347,0.226121,0.455613,0.160943
fab1,4.545489,8.336687,3.461134,10.346653
Dhit,0.021994,0.066416,0.574022,0.349553
CG5033,86.158492,78.242186,106.756469,98.710621
CG18508,19.151191,22.229812,13.781678,16.40039
Doc1,12.54533,12.000789,17.700293,13.32533
Dak1,241.42808,212.110776,225.003348,188.211538
CSN7,193.748218,194.428041,211.156806,190.678038
CSN6,192.323772,200.539918,211.493585,197.767819
CSN1a,0,0,0,0
jhamt,0.968124,0,0.625829,0.049339
CG15283,0,0,0,0
CG9014,0,0,0,0
Gpo3,0,0,0,0
CG15260,0,0,0,0
CG15262,0,0,0,0
CG15263,0,0,0,0
CG15282,52.40387,47.096204,89.84319,85.217326
CG18063,0,0,0,0
CG12448,0,0,0,0
CG10839,0,0,0,0
dao,0,0,0.175102,0.024323
CG4587,0,0,0.04549,0
CG18477,0.130727,0,0.295788,1.025847
CG18420,0,0,0,0
CG4701,0,0,0,0
CG4691,0,0,0,0
Cpr35B,2.200709,0.160463,2.262135,0.86329
CG18095,0,0,0,0
nAChRalpha5,0.00763,0,0,0
CG15269,0,0,0,0.133306
CG15270,0,0,0,0
CG15256,0,0,0,0
CG4892,0,0,0,0
CG15279,1.612376,1.625678,1.724258,4.453937
CG3491,0,0,0,0
CG4168,0,0.093528,0,0
CG4161,0,0,0,0
CG31819,0,0,0,0
GMF,55.987582,58.372256,84.077685,66.386454
CG17328,12.363135,12.160966,17.3776,10.922361
CG17329,0.087549,0.218804,0.24059,0
CG4935,27.973212,18.081702,18.580713,22.028028
CG31817,0.125552,0.085252,0.274397,0.08917
CG18518,0,0,0,0
CG18109,0,0,0,0
Tektin-A,0,0,0,0
CG13243,0,0,0,0
CG3473,0,0,0,0
CG33090,6.838882,11.144242,12.939723,13.742161
CG16865,33.27023,28.82887,27.211031,32.939428
CG8997,0.057925,0,0,0.051284
NC2beta,80.357548,68.277713,58.182249,67.584254
CG16863,3.272693,2.610778,2.792656,2.803163
CG16890,13.006025,15.154795,12.656335,16.081987
CG7653,0,0,0,0
NimB5,0.314164,0.078715,0.086648,1.420341
CG16886,0,0.208586,0,0
NimC2,0.413842,1.159482,0.097729,0.888643
Cyp28a5,0,0,0,0.28371
CG16853,0,0.304266,0.062923,0
CG16852,0.26509,0.163274,0,0
CG15638,0.860344,0.090817,0,0.132344
Semp1,0,0,0,0
CG7631,0,0,0,0
Or35a,0,0,0,0
CG11865,0,0,0,0
CG15253,0,0,0,0
CG15254,0,0,0,0
CG15255,0,0,0,0
Kebab,8.728152,8.297398,9.149239,7.071528
CG14478,95.023917,125.81603,143.995208,100.883898
CG8788,33.357704,30.73159,37.589123,22.57574
mthl3,60.971141,84.249697,61.757176,101.323805
AlaRS-m,10.027933,9.911502,12.639431,13.079383
Or49b,0,0,0,0
A16,110.379649,90.996232,97.000858,99.130339
gammaCOP,110.446085,170.245568,156.091404,136.149746
deltaCOP,259.117366,307.049087,284.285874,235.247681
betaggt-II,84.1136,67.716774,68.439808,58.744229
xmas-2,3.077079,6.35019,3.265952,7.387524
trbl,57.43571,70.408498,91.276685,72.248833
tio,4.760463,7.579035,6.551575,8.844124
tant,45.302799,50.03671,51.695007,43.754579
Spt6,26.194509,46.225093,29.530856,55.537143
Spn55B,98.604452,73.458713,98.371673,82.551163
Spn88Ea,191.414257,232.231295,197.667283,219.377254
Spn38F,0,0,0,0
Spn28F,0,0,0,0
Spn42Dd,0.114807,0,0,0.362948
Spn27A,427.610695,300.808782,416.730926,264.181087
seq,5.108078,2.898683,3.248314,5.539321
sds22,177.798127,162.118351,189.839989,162.525348
scro,0,0.03149,0,0.089841
onecut,0,0.019907,0,0.027767
nmdyn-D7,57.362291,34.341035,44.4463,37.831724
nerfin-1,0,0,0,0
miple2,369.068542,433.978139,340.729517,524.678965
mab-21,671.098562,668.394571,996.870218,644.320008
Smurf,14.437469,29.393355,24.858904,32.14187
Dd,19.428424,22.906469,29.144945,19.159069
icln,389.20668,276.354343,393.631416,276.41448
hbs,23.438322,45.797678,28.49833,45.837797
gom,0.111888,0.335195,0,0.348821
disp,13.680176,24.349991,18.140438,26.180486
Chs2,0,0,0,0
ced-6,42.889087,77.587877,46.186064,81.103014
cathD,396.949031,455.465342,418.755021,418.319629
asf1,214.417277,155.280507,222.500585,171.560348
aru,45.282373,76.245913,61.73738,72.876732
alpha-Catr,0,0,0,0
Uba2,242.304744,220.962249,230.891992,240.611351
Tollo,7.398375,9.875872,6.426593,14.209744
Surf1,30.475677,27.356181,26.133957,25.073895
ScsbetaG,162.075689,123.484886,142.102999,150.773442
Sras,35.718633,42.542363,37.788168,29.544248
SoxN,0.163971,0.678908,0.127927,1.003793
Debcl,81.781777,71.085707,76.799957,60.893565
REG,499.836124,349.72314,427.865462,427.765883
Prosbeta5,802.420987,802.482737,775.845947,783.770712
Patsas,0,0.217916,0.818395,0.116884
NtR,2.95588,5.412205,4.879913,15.765814
NHP2,893.470466,565.392674,700.041519,641.587191
Mkrn1,100.817774,99.622763,124.256368,101.433337
Menl-2,0.020538,0,0,0.052607
Men-b,23.165175,16.834744,24.945381,20.117231
ssh,7.963833,10.600926,12.04278,13.31897
Las,11.398775,9.666525,11.269752,8.275783
slmo,117.052476,114.49889,112.954911,111.5901
Hml,0.108111,0.02189,0.062663,1.540051
TwdlT,19.936646,5.362727,18.003946,8.535408
Fad2,0,0,0,0
Fkbp59,411.923718,343.031534,393.857278,372.157412
sotv,4.813722,11.797099,6.906541,8.778811
eEF1gamma,1723.284762,1817.012282,1768.866354,1884.527649
Crtp,0,0,0,0
COQ7,96.549066,50.784688,72.871876,61.138361
CHORD,58.389203,53.015685,68.836325,45.605145
CHES-1-like,1.433279,0.903543,0.826717,1.02454
Tsp42Ee,1918.135336,875.707396,1674.364597,1188.933351
Tsp42Ed,0.290992,0.786972,3.336517,1.636256
Tsp42Ea,42.713424,90.78806,43.069068,54.79675
Aos1,529.414001,360.709159,450.083555,395.701286
312,31.913154,23.278848,28.583775,25.020383
CG13376,0.105994,0.093875,0.469617,0.063647
Or1a,0,0.027367,0,0.039426
CG13373,61.519071,33.106401,48.235196,38.752776
CG3176,39.115951,61.53265,41.508105,45.638818
CG18273,18.984697,22.371261,22.814038,29.807493
CG13365,144.528137,115.663164,105.42954,113.903877
CG13362,0.810568,0.064522,0.574094,0.234221
CG13361,0,0,0.544714,0.072961
CG14635,0,0,0,0
CG11663,0,0,0,0
CG14631,0,0,0,0
CG11381,0.192159,0,0,0
CG14770,0.248746,0.934651,0,0.975919
CG14778,5.658283,4.017399,3.088998,5.966659
CG14797,0.074751,0.008906,0.049127,0.051229
CG14798,7.245195,4.895162,3.564286,6.061711
CG14810,0,0,0,0
CG14811,0,0,0,0
CG14806,82.311906,81.374395,61.604406,74.756345
CG14054,17.337789,7.461586,12.500438,10.263732
CG14053,0,0,0,0
CG14052,0,0.261255,0,0.1067
CG3091,0.898057,0,0,0.100175
eIF3g1,416.213049,346.065344,368.015012,358.416926
CG14419,0,0,0,0
CG3592,0,0,0,0
CG14420,0.131462,0,0,0
CG14421,0.162538,0,0.39606,0
CG14422,0,0,0.435199,0
CG14423,0,0,0,0
CG17959,0,0,0,0
CG3603,111.805744,73.580287,70.151126,72.044181
CG4116,0,0,0,0
CG10793,0,0.017049,0,0
CG12535,0.067086,0.319443,0.212282,0.21022
CG14269,0.651964,0.201208,1.105125,0
CG16782,0.655841,0.056254,0.42266,0.240522
CG10801,0.373224,0.119699,0,0.13224
CG16781,0.434035,0.059771,0.106257,0.623773
CG12206,15.441239,16.670247,9.299389,17.739896
CG10804,0.147709,0,0.194283,0.039899
CG10802,12.826309,9.456752,8.620531,10.18816
CG14270,226.345505,132.692324,176.87004,128.346101
CG10803,50.92632,57.433575,63.333545,58.331198
Gas8,0.291101,0.057536,0.124304,0
CG13021,0.114139,0.13821,0,0
CG2875,55.618456,38.081933,53.678775,53.978242
HIP-R,469.268365,443.172372,544.281059,360.208213
CG2901,0.674311,0.037174,0.404623,0.039245
CG15239,0,0.15138,0.060781,0.058728
CG2938,20.583673,28.98463,25.601814,29.036526
Glos,6.537858,8.065344,9.066416,8.062786
Vap33,222.598458,212.708889,238.228326,200.018511
lva,3.683908,4.940992,2.571241,6.154861
CG6428,4.071105,6.677881,5.59414,5.004861
CG6414,26.006234,1.889274,0.610169,0.304683
CG6379,17.946782,27.018007,19.193426,23.326791
CG15375,0.348826,0.209223,0.782067,0.150045
CG15571,0,0,0,0
CG15570,0,0,0,0
CG15576,0,0,0,0
CG12691,0,0,0,0
CG15572,0,0,0,0
CG12692,0,0,0,0
CG12693,0,0,0,0
CG3626,20.64119,32.031672,26.493253,31.959529
CG12688,0.607547,0.054725,0.461945,0.154932
CG3556,0.427004,0.469293,0.404201,0.12431
CHOp24,693.95684,564.299853,558.230186,405.71181
CG3568,25.230527,62.603813,44.567225,45.41674
Usf,11.374577,9.991908,16.351556,11.967791
CG15912,3.848361,2.476356,3.7876,3.439252
CG11436,44.60865,33.450811,50.215966,33.365175
CG3527,122.646473,91.274133,112.25103,96.568307
CG11444,512.106698,365.581955,485.526526,405.173106
CG3546,0,0,0,0
CG12684,0,0,0,0
mRpL30,192.993163,159.586273,149.249521,158.319703
CG15473,2.077826,2.119925,2.961326,2.548654
CG3009,2.550796,1.077455,1.453766,1.637615
CG7024,0,0,0,0.019442
Proc-R,2.673156,0.732965,0,1.296738
CG15472,1.450551,0.522318,0.839887,0.468231
CG2871,0,0,0,0
CG15471,0,0,0,0
CG6978,0,0,0,0
